Pharmaceutical,Prescribed_Daily_Dosage,Num_Prescriptions,SMILES,INCHIKEY,INCHI_STRING,Molar_Mass,MOLECULAR_FORMULA,Boiling.Point,Density,Flash.Point,Henry.s.Law,Index.of.Refraction,liquid.chromatography.Retention.Time,LogD5.5,LogD7.4,LogKoa.Octanol.Air,LogKow.Octanol.Water,Melting.Point,Molar.Refractivity,Molar.Volume,pKa.Acidic.Apparent,pKa.Basic.Apparent,Polarizability,ReadyBiodeg,Surface.Tension,Thermal.Conductivity,Vapor.Pressure,Viscosity,Water.Solubility,Invertebrate_Median_LC50,Plants_Algae_Median_LC50,Vertebrate_Median_LC50,Min_Vertebrate_LC50,Invertebrate_median_NOEC,Plants_algae_median_NOEC,Vertebrate_median_NOEC,Min_Vertebrate_NOEC,Amides,Ethers,Tertiary amines,Alkyl halides,Secondary amines,Aliphatic alcohols,Aromatic alcohols,Carboxylic acids,Sulfonamides,Primary amines,Ureas,Esters,Nitriles,Ketones,Sulfides,Carbamates,Sulfones,Guanidines,Amidines,Thiols,Imines,Imides
MESALAMINE,831941845.874438,228,NC1=CC=C(O)C(=C1)C(O)=O,KBOPZPXVLCULAV-UHFFFAOYSA-N,"InChI=1S/C7H7NO3/c8-4-1-2-6(9)5(3-4)7(10)11/h1-3,9H,8H2,(H,10,11)
",153.137,C7H7NO3,334.893,1.49,192.0895,3.981071705534971e-09,1.691,0.0,-0.88,-2.77,7.89,0.895,280.0,39.301,102.673,3.82,,15.58,1.0,83.37,,3.6141e-07,,0.0056234132519034,,,,,,,,,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
NAPROXEN,788934760.404941,829,COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O,CMWTZPSULFXXJA-VIFPVBQESA-N,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1
",230.263,C14H14O3,368.567,1.205,166.9205,1.0715193052376e-09,1.609,8.23,2.56,0.78,9.75,3.1,153.0,66.523,192.25,5.0,,26.372,0.0,44.2845,137.249,2.57039578276886e-07,26.7301,6.91831e-05,29200.0,41000.0,,,5500.0,,6726.975,10.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASPIRIN,623079019.887921,1947,CC(=O)OC1=C(C=CC=C1)C(O)=O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)
",180.159,C9H8O4,282.4455,1.3135,141.62,8.31763771102671e-09,1.551,0.92,-0.13,-2.01,7.75,1.19,136.0,44.524,139.592,4.2,,17.651,1.0,49.852,,2.51594321575479e-05,,0.02394085,159712.0,,421150.0,421150.0,3000.0,20000.0,27312.3,27312.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BUPROPION,603270152.698337,2328,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,SNPPWIUOZRMYNY-UHFFFAOYSA-N,"InChI=1/C13H18ClNO/c1-9(15-13(2,3)4)12(16)10-6-5-7-11(14)8-10/h5-9,15H,1-4H3
",239.74,C13H18ClNO,308.0,,,3.0199517204020204e-09,,14.82,0.64,1.76,8.71,1.83,165.25,,,,6.66,,0.0,,,4.78630092322638e-06,,0.0014125375446227,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
VALACYCLOVIR,577921968.054102,447,"CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O, Cl.CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O","HDOVUKNUBWVHOX-QMMMGPOBSA-N, ZCDDBUOENGJMLV-QRPNPIFTSA-N","InChI=1S/C13H20N6O4/c1-7(2)8(14)12(21)23-4-3-22-6-19-5-16-9-10(19)17-13(15)18-11(9)20/h5,7-8H,3-4,6,14H2,1-2H3,(H3,15,17,18,20)/t8-/m0/s1
",324.341,C13H20N6O4,588.4,1.658,238.309,1.3489628825916598e-11,1.673,5.0,0.56,0.59,9.28,-0.6775,235.0,78.418,209.186,,4.4,31.087,0.0,62.879,,1.81433556928417e-08,,0.005701615,,,,,,,,,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
ALBUTEROL,571087751.514277,6193,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,NDAUXUAQIAJITI-UHFFFAOYSA-N,"InChI=1/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3
",239.315,C13H21NO3,388.81,1.152,172.938,8.128305161641e-11,1.566,7.65,-3.04,-1.14,8.63,0.623,151.0,67.765,207.643,10.12,8.96,26.864,1.0,45.264,195.354,5.37031796370253e-08,24.6037,0.060256,,,,,,,,,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIVALPROEX SODIUM,505372350.569609,488,[Na+].CCCC(CCC)C(O)=O.CCCC(CCC)C([O-])=O,MSRILKIQRXUYCT-UHFFFAOYSA-M,"InChI=1S/2C8H16O2.Na/c2*1-3-5-7(6-4-2)8(9)10;/h2*7H,3-6H2,1-2H3,(H,9,10);/q;;+1/p-1
",310.41,C16H31NaO4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OXCARBAZEPINE,469348571.733907,347,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,CTRLABGOLIVAIY-UHFFFAOYSA-N,"InChI=1S/C15H12N2O2/c16-15(19)17-12-7-3-1-5-10(12)9-14(18)11-6-2-4-8-13(11)17/h1-8H,9H2,(H2,16,19)
",252.273,C15H12N2O2,414.609,1.3085,220.3635,1.02329299228075e-08,1.662,12.44,2.17,2.17,11.28,1.652,215.0,70.212,189.79,12.36,,27.834,1.0,61.268,,9.28966e-09,34.3558,0.0004362199,,,,,,,,,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
METOPROLOL,460821768.198919,6375,COCCC1=CC=C(OCC(O)CNC(C)C)C=C1,IUBSYMUCCVWXPE-UHFFFAOYSA-N,"InChI=1/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3
",267.369,C15H25NO3,362.145,1.034,200.287,2.69153480392691e-08,1.508,13.52,-3.05,-1.15,8.4,1.809,93.0,77.07,258.731,,10.43,30.553,0.0,38.687,156.917,4.89778819368447e-07,41.4,0.0515478672240097,68175.0,,,,,,82.710425,5.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOSARTAN,358865435.793045,5102,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1,PSIFNNKUMBGKDQ-UHFFFAOYSA-N,"InChI=1S/C22H23ClN6O/c1-2-3-8-20-24-21(23)19(14-30)29(20)13-15-9-11-16(12-10-15)17-6-4-5-7-18(17)22-25-27-28-26-22/h4-7,9-12,30H,2-3,8,13-14H2,1H3,(H,25,26,27,28)
",422.92,C22H23ClN6O,621.098,1.41,359.0245,9.77237220955811e-08,1.681,15.73,3.46,3.08,9.62,3.5155,184.0,118.236,312.526,7.24,,46.872,0.0,53.322,,3.79288787592093e-10,,5.293665e-06,,,,,,,219.91685,219.91685,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATORVASTATIN,357197178.603803,10775,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CC[C@@H](O)C[C@@H](O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,XUKUURHRXDUEBC-KAYWLYCHSA-N,"InChI=1S/C33H35FN2O5/c1-21(2)31-30(33(41)35-25-11-7-4-8-12-25)29(22-9-5-3-6-10-22)32(23-13-15-24(34)16-14-23)36(31)18-17-26(37)19-27(38)20-28(39)40/h3-16,21,26-27,37-38H,17-20H2,1-2H3,(H,35,41)(H,39,40)/t26-,27-/m1/s1
",558.65,C33H35FN2O5,693.5695,1.2735,390.4215,1.0964781961431799e-11,1.603,30.09,6.81,6.8,9.52,5.3575,201.043,155.212,451.931,8.96,,61.531,0.0,45.956,,9.7499e-13,,1.37311148769599e-06,2600.0,,,,1.0,100.0,530.0,111.73,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ALLOPURINOL,332574785.38199,1439,O=C1N=CNC2=C1C=NN2,OFCNXPDARWKPPY-UHFFFAOYSA-N,"InChI=1S/C5H4N4O/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)
",136.114,C5H4N4O,335.46,1.697,204.6835,5.62341325190349e-09,1.903,0.0,-0.5,-0.5,7.74,-0.525,300.0,33.554,71.955,,1.83,13.302,1.0,91.446,,5.51763115748444e-09,,0.00549541,,,,,,,,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERTRALINE,321841428.739842,3200,CN[C@H]1CC[C@@H](C2=CC(Cl)=C(Cl)C=C2)C2=C1C=CC=C2,VGKDLMBJGBXTGI-SJCJKPOMSA-N,"InChI=1S/C17H17Cl2N/c1-20-17-9-7-12(13-4-2-3-5-14(13)17)11-6-8-15(18)16(19)10-11/h2-6,8,10,12,17,20H,7,9H2,1H3/t12-,17-/m0/s1
",306.23,C17H17Cl2N,381.21,1.2285,205.0115,6.45654229034655e-05,1.621,22.74,2.15,3.98,11.44,4.9755,137.652,85.826,243.927,,8.16,34.024,0.0,48.875,136.459,3.31131121482591e-07,44.8745,1.47910838816821e-05,475.02,,191.0,143.0,216.0,525.0,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAMADOL,299768958.766957,1679,COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C,TVYLLZQTGLZFBW-ZBFHGGJFSA-N,"InChI=1/C16H25NO2/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3/t14-,16+/s2
",263.381,C16H25NO2,317.976,1.04,169.8495,1.12201845430196e-06,1.533,12.94,-0.68,1.2,9.94,2.512,104.386,77.97,251.39,,8.69,30.91,0.0,40.2855,143.291,1.02e-06,17.2982,0.00125603,,,,,,,658.45,658.45,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEMFIBROZIL,297012949.640288,262,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,HEMJJKBWTPKOJG-UHFFFAOYSA-N,"InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)
",250.338,C15H22O3,355.786,1.035,162.082,5.75439937337157e-09,1.512,9.4,4.01,2.32,9.6,4.4085,62.0,71.909,239.7,5.29,,28.507,0.0,37.883,135.401,1.72187e-06,26.1818,0.0001570098457842,66000.0,58000.0,17675.0,17675.0,156.0,7815.0,6258.45,14.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICOSAPENT,294260869.565217,85,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,JAZBEHYOTPTENJ-JLNKQSITSA-N,"InChI=1S/C20H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h3-4,6-7,9-10,12-13,15-16H,2,5,8,11,14,17-19H2,1H3,(H,21,22)/b4-3-,7-6-,10-9-,13-12-,16-15-
",302.458,C20H30O2,412.5195,0.9455,312.5635,1.73780082874938e-08,1.513,24.78,5.3,3.41,11.4,6.671,-7.4215,96.56,321.369,3.7,,38.279,1.0,28.109,156.534,1.76198e-07,,2.93771143516691e-05,,,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SULFASALAZINE,277831076.388889,147,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,NCEXYHBECQHGNR-UHFFFAOYSA-N,"InChI=1S/C18H14N4O5S/c23-16-9-6-13(11-15(16)18(24)25)21-20-12-4-7-14(8-5-12)28(26,27)22-17-3-1-2-10-19-17/h1-11,23H,(H,19,22)(H,24,25)
",398.39,C18H14N4O5S,275.0,,,1.34896288259166e-10,,13.06,0.93,-0.96,9.34,2.43,220.0,,,4.01,,,0.0,,,7.41310241300916e-10,,1.94984459975805e-05,,,,,,,,,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TRAZODONE,272996597.969689,2595,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,PHLBKPHSAVXXEF-UHFFFAOYSA-N,"InChI=1S/C19H22ClN5O/c20-16-5-3-6-17(15-16)23-13-11-22(12-14-23)8-4-10-25-19(26)24-9-2-1-7-18(24)21-25/h1-3,5-7,9,15H,4,8,10-14H2
",371.87,C19H22ClN5O,497.57,1.3425,270.8005,1.17489755493953e-08,1.671,15.08,1.79,2.4,11.7,2.5915,87.0,104.246,278.803,,6.02,41.326,0.0,55.078,,4.84172e-09,,0.0001366627150398,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZITHROMYCIN,261570112.781955,815,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,MQTOSJVFKKJCRP-BICOPXKESA-N,"InChI=1S/C38H72N2O12/c1-15-27-38(10,46)31(42)24(6)40(13)19-20(2)17-36(8,45)33(52-35-29(41)26(39(11)12)16-21(3)48-35)22(4)30(23(5)34(44)50-27)51-28-18-37(9,47-14)32(43)25(7)49-28/h20-33,35,41-43,45-46H,15-19H2,1-14H3/t20-,21-,22+,23-,24-,25+,26+,27-,28+,29-,30+,31-,32+,33-,35+,36-,37-,38-/m1/s1
",748.996,C38H72N2O12,692.937,1.1685,470.241,1.28824955169313e-11,1.537,24.74,2.93,3.96,9.53,3.329,114.0,197.564,632.651,,6.55,78.321,0.0,50.583,,5.02343e-16,,0.0003485599351669,,,,,490.0,510.0,,,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PREGABALIN,252259725.111538,870,"CC(C)C[C@H](CN)CC(O)=O, CC(C)CC(CN)CC(O)=O","AYXYPKUFHZROOJ-ZETCQYMHSA-N, AYXYPKUFHZROOJ-UHFFFAOYSA-N","InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1
",159.229,C8H17NO2,275.016,1.001,118.1865,3.16227766016838e-08,1.465,2.16,-3.43,-5.31,7.85,-0.5125,250.0,44.129,159.646,4.08,,17.494,1.0,32.085,174.58,0.00153,6.05341,0.321641,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
QUETIAPINE,248503095.801543,1016,OCCOCCN1CCN(CC1)C1=NC2=C(SC3=C1C=CC=C3)C=CC=C2,URKOMYMAXPYINW-UHFFFAOYSA-N,"InChI=1S/C21H25N3O2S/c25-14-16-26-15-13-23-9-11-24(12-10-23)21-17-5-1-3-7-19(17)27-20-8-4-2-6-18(20)22-21/h1-8,25H,9-16H2
",383.51,C21H25N3O2S,523.13,1.28,282.754,1.69824365246175e-10,1.653,15.54,0.57,2.29,10.35,2.14,159.0,110.151,301.055,,7.7,43.667,0.0,51.969,,4.88620220477906e-08,,8.47227e-05,,,,,,,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ACYCLOVIR,241366566.749931,256,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,MKUXAQIIEYXACX-UHFFFAOYSA-N,"InChI=1S/C8H11N5O3/c9-8-11-6-5(7(15)12-8)10-3-13(6)4-16-2-1-14/h3,14H,1-2,4H2,(H3,9,11,12,15)
",225.208,C8H11N5O3,451.415,1.7815,190.103,1.73780082874938e-10,1.762,1.86,-1.76,-2.31,9.21,-1.56,256.0,52.439,127.182,7.06,5.23,20.788,0.0,83.718,,6.26772975009307e-08,,0.0231195,,,,,,,,,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARBAMAZEPINE,230187463.977616,324,NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2,FFGPTBGBLSHEPO-UHFFFAOYSA-N,"InChI=1S/C15H12N2O/c16-15(18)17-13-7-3-1-5-11(13)9-10-12-6-2-4-8-14(12)17/h1-10H,(H2,16,18)
",236.274,C15H12N2O,397.178,1.245,209.788,2.23872113856834e-10,1.67,12.47,1.88,0.12,11.0,2.45,190.2,69.685,186.586,5.07,,27.625,1.0,57.328,,3.22107e-08,20.4644,0.000402012,47300.0,,36800.0,862.0,30.904535,750.0,3506.0,8.75,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CLINDAMYCIN,217059084.821429,237,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O,KDLRVYVGXIQJDK-AWPVFWJPSA-N,"InChI=1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/t9-,10+,11-,12+,13-,14+,15+,16+,18+/m0/s1
",424.98,C18H33ClN2O5S,565.6495,1.3035,326.7775,1.3489628825916598e-11,1.574,13.02,1.05,2.1,9.43,2.121,138.0,107.949,327.244,,6.58,42.794,0.0,56.248,,4.33511e-10,301.301,7.24435960074991e-05,,,,,,,,,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
DILTIAZEM,206566946.902655,912,"COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CCN(C)C)C(=O)C1OC(C)=O, COC1=CC=C(C=C1)[C@@H]1SC2=CC=CC=C2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O","HSUGRBWQSSZJOP-UHFFFAOYSA-N, HSUGRBWQSSZJOP-RTWAWAEBSA-N","InChI=1/C22H26N2O4S/c1-15(25)28-20-21(16-9-11-17(27-4)12-10-16)29-19-8-6-5-7-18(19)24(22(20)26)14-13-23(2)3/h5-12,20-21H,13-14H2,1-4H3
",414.52,C22H26N2O4S,449.616,1.236,290.2035,1.7782794100389201e-09,1.621,18.2,2.62,2.7,11.68,3.063,162.8685,115.16,327.603,,4.83,45.653,0.0,56.226,,2.20293e-09,,0.000308319,,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
