"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"116","pseudoephedrine","DTXSID0023537","LC50",2e+06,"ug/L","Rat","Mammals",165.236
"117","diazepam","DTXSID4020406","LC50",12700,"ug/L","Eastern Mosquitofish","Fish",284.74
"118","sulfamethoxazole","DTXSID8026064","LC50",562500,"ug/L","Japanese Medaka","Fish",253.28
"119","sulfamethoxazole","DTXSID8026064","LC50",750000,"ug/L","Japanese Medaka","Fish",253.28
"120","sulfamethoxazole","DTXSID8026064","LC50",563000,"ug/L","Japanese Medaka","Fish",253.28
"121","warfarin","DTXSID5023742","LC50",320000,"ug/L","Rat","Mammals",308.333
"122","warfarin","DTXSID5023742","LC50",5000,"ug/L","Rat","Mammals",308.333
"123","warfarin","DTXSID5023742","LC50",17500,"ug/L","Bluegill","Fish",308.333
"124","warfarin","DTXSID5023742","LC50",34.3,"ug/L","Channel Catfish","Fish",308.333
"125","warfarin","DTXSID5023742","LC50",37.7,"ug/L","Channel Catfish","Fish",308.333
"126","warfarin","DTXSID5023742","LC50",46,"ug/L","Channel Catfish","Fish",308.333
"127","warfarin","DTXSID5023742","LC50",12000,"ug/L","Harlequinfish, Red Rasbora","Fish",308.333
"128","warfarin","DTXSID5023742","LC50",14000,"ug/L","Harlequinfish, Red Rasbora","Fish",308.333
"129","warfarin","DTXSID5023742","LC50",16000,"ug/L","Rainbow Trout","Fish",308.333
"130","warfarin","DTXSID5023742","LC50",17000,"ug/L","Harlequinfish, Red Rasbora","Fish",308.333
"131","warfarin","DTXSID5023742","LC50",88000,"ug/L","Bluegill","Fish",308.333
"132","warfarin","DTXSID5023742","LC50",750000,"ug/L","Bluegill","Fish",308.333
"133","warfarin","DTXSID5023742","LC50",1e+06,"ug/L","Rainbow Trout","Fish",308.333
"134","warfarin","DTXSID5023742","LC50",304634,"ug/L","Zebra Danio","Fish",308.333
"135","warfarin","DTXSID5023742","LC50",1e+06,"ug/L","Western Mosquitofish","Fish",308.333
"136","warfarin","DTXSID5023742","LC50",14000,"ug/L","Harlequinfish, Red Rasbora","Fish",308.333
"137","warfarin","DTXSID5023742","LC50",34.3,"ug/L","Channel Catfish","Fish",308.333
"138","warfarin","DTXSID5023742","LC50",37.7,"ug/L","Channel Catfish","Fish",308.333
"139","warfarin","DTXSID5023742","LC50",12000,"ug/L","Harlequinfish, Red Rasbora","Fish",308.333
"140","warfarin","DTXSID5023742","LC50",34300,"ug/L","Channel Catfish","Fish",308.333
"141","warfarin","DTXSID5023742","LC50",88000,"ug/L","Bluegill","Fish",308.333
"142","warfarin","DTXSID5023742","LC50",750000,"ug/L","Bluegill","Fish",308.333
"143","warfarin","DTXSID5023742","LC50",1e+06,"ug/L","Western Mosquitofish","Fish",308.333
"144","isotretinoin","DTXSID4023177","LC50",18,"ug/L","African Clawed Frog","Amphibians",300.442
"145","isotretinoin","DTXSID4023177","LC50",36,"ug/L","African Clawed Frog","Amphibians",300.442
"146","isotretinoin","DTXSID4023177","LC50",37,"ug/L","African Clawed Frog","Amphibians",300.442
"147","bismuth subsalicylate","DTXSID6024622","LC50",114,"ug/L","Rat","Mammals",362.093
"148","bismuth subsalicylate","DTXSID6024622","LC50",400,"ug/L","Rat","Mammals",362.093
"149","bismuth subsalicylate","DTXSID6024622","LC50",5070000,"ug/L","Rat","Mammals",362.093
"150","methimazole","DTXSID4020820","LC50",894800,"ug/L","Zebra Danio","Fish",114.17
"151","methimazole","DTXSID4020820","LC50",909895,"ug/L","Zebra Danio","Fish",114.17
"152","methimazole","DTXSID4020820","LC50",993236,"ug/L","Clawed Frog","Amphibians",114.17
"153","methimazole","DTXSID4020820","LC50",2182830,"ug/L","Zebra Danio","Fish",114.17
"154","methimazole","DTXSID4020820","LC50",2462540,"ug/L","Zebra Danio","Fish",114.17
"155","methimazole","DTXSID4020820","LC50",3648710,"ug/L","Zebra Danio","Fish",114.17
"156","methimazole","DTXSID4020820","LC50",4571170,"ug/L","Zebra Danio","Fish",114.17
"157","methimazole","DTXSID4020820","LC50",910000,"ug/L","Zebra Danio","Fish",114.17
"158","methimazole","DTXSID4020820","LC50",2180000,"ug/L","Zebra Danio","Fish",114.17
"159","methimazole","DTXSID4020820","LC50",2460000,"ug/L","Zebra Danio","Fish",114.17
"160","trimethoprim","DTXSID3023712","LC50",1e+05,"ug/L","Japanese Medaka","Fish",290.323
"161","nitroglycerin","DTXSID1021407","LC50",1900,"ug/L","Rainbow Trout","Fish",227.085
"162","nitroglycerin","DTXSID1021407","LC50",1910,"ug/L","Bluegill","Fish",227.085
"163","nitroglycerin","DTXSID1021407","LC50",1200,"ug/L","Fathead Minnow","Fish",227.085
"164","nitroglycerin","DTXSID1021407","LC50",1380,"ug/L","Bluegill","Fish",227.085
"165","nitroglycerin","DTXSID1021407","LC50",1510,"ug/L","Bluegill","Fish",227.085
"166","nitroglycerin","DTXSID1021407","LC50",1650,"ug/L","Bluegill","Fish",227.085
"167","nitroglycerin","DTXSID1021407","LC50",1920,"ug/L","Bluegill","Fish",227.085
"168","nitroglycerin","DTXSID1021407","LC50",1670,"ug/L","Bluegill","Fish",227.085
"169","nitroglycerin","DTXSID1021407","LC50",1700,"ug/L","Bluegill","Fish",227.085
"170","nitroglycerin","DTXSID1021407","LC50",1760,"ug/L","Bluegill","Fish",227.085
"171","nitroglycerin","DTXSID1021407","LC50",1870,"ug/L","Channel Catfish","Fish",227.085
"172","nitroglycerin","DTXSID1021407","LC50",1900,"ug/L","Rainbow Trout","Fish",227.085
"173","nitroglycerin","DTXSID1021407","LC50",1910,"ug/L","Bluegill","Fish",227.085
"174","nitroglycerin","DTXSID1021407","LC50",1920,"ug/L","Bluegill","Fish",227.085
"175","nitroglycerin","DTXSID1021407","LC50",1990,"ug/L","Bluegill","Fish",227.085
"176","nitroglycerin","DTXSID1021407","LC50",1990,"ug/L","Bluegill","Fish",227.085
"177","nitroglycerin","DTXSID1021407","LC50",2000,"ug/L","Bluegill","Fish",227.085
"178","nitroglycerin","DTXSID1021407","LC50",2100,"ug/L","Bluegill","Fish",227.085
"179","nitroglycerin","DTXSID1021407","LC50",2200,"ug/L","Bluegill","Fish",227.085
"180","nitroglycerin","DTXSID1021407","LC50",2500,"ug/L","Fathead Minnow","Fish",227.085
"181","nitroglycerin","DTXSID1021407","LC50",2700,"ug/L","Bluegill","Fish",227.085
"182","nitroglycerin","DTXSID1021407","LC50",2710,"ug/L","Bluegill","Fish",227.085
"183","nitroglycerin","DTXSID1021407","LC50",2720,"ug/L","Bluegill","Fish",227.085
"184","nitroglycerin","DTXSID1021407","LC50",2800,"ug/L","Rainbow Trout","Fish",227.085
"185","nitroglycerin","DTXSID1021407","LC50",2000,"ug/L","Bluegill","Fish",227.085
"186","nitroglycerin","DTXSID1021407","LC50",2900,"ug/L","Rainbow Trout","Fish",227.085
"187","nitroglycerin","DTXSID1021407","LC50",3000,"ug/L","Fathead Minnow","Fish",227.085
"188","nitroglycerin","DTXSID1021407","LC50",3100,"ug/L","Bluegill","Fish",227.085
"189","nitroglycerin","DTXSID1021407","LC50",3200,"ug/L","Channel Catfish","Fish",227.085
"190","nitroglycerin","DTXSID1021407","LC50",3400,"ug/L","Fathead Minnow","Fish",227.085
"191","nitroglycerin","DTXSID1021407","LC50",3550,"ug/L","Bluegill","Fish",227.085
"192","nitroglycerin","DTXSID1021407","LC50",3580,"ug/L","Fathead Minnow","Fish",227.085
"193","nitroglycerin","DTXSID1021407","LC50",3600,"ug/L","Bluegill","Fish",227.085
"194","nitroglycerin","DTXSID1021407","LC50",2100,"ug/L","Bluegill","Fish",227.085
"195","nitroglycerin","DTXSID1021407","LC50",3700,"ug/L","Bluegill","Fish",227.085
"196","nitroglycerin","DTXSID1021407","LC50",3800,"ug/L","Bluegill","Fish",227.085
"197","nitroglycerin","DTXSID1021407","LC50",3900,"ug/L","Bluegill","Fish",227.085
"198","nitroglycerin","DTXSID1021407","LC50",4010,"ug/L","Bluegill","Fish",227.085
"199","nitroglycerin","DTXSID1021407","LC50",4100,"ug/L","Fathead Minnow","Fish",227.085
"200","nitroglycerin","DTXSID1021407","LC50",4300,"ug/L","Bluegill","Fish",227.085
"201","nitroglycerin","DTXSID1021407","LC50",4600,"ug/L","Bluegill","Fish",227.085
"202","nitroglycerin","DTXSID1021407","LC50",4700,"ug/L","Channel Catfish","Fish",227.085
"203","nitroglycerin","DTXSID1021407","LC50",2200,"ug/L","Bluegill","Fish",227.085
"204","nitroglycerin","DTXSID1021407","LC50",4800,"ug/L","Rainbow Trout","Fish",227.085
"205","nitroglycerin","DTXSID1021407","LC50",4820,"ug/L","Bluegill","Fish",227.085
"206","nitroglycerin","DTXSID1021407","LC50",4910,"ug/L","Bluegill","Fish",227.085
"207","nitroglycerin","DTXSID1021407","LC50",5040,"ug/L","Bluegill","Fish",227.085
"208","nitroglycerin","DTXSID1021407","LC50",5300,"ug/L","Fathead Minnow","Fish",227.085
"209","nitroglycerin","DTXSID1021407","LC50",5400,"ug/L","Fathead Minnow","Fish",227.085
"210","nitroglycerin","DTXSID1021407","LC50",5500,"ug/L","Fathead Minnow","Fish",227.085
"211","nitroglycerin","DTXSID1021407","LC50",6090,"ug/L","Bluegill","Fish",227.085
"212","nitroglycerin","DTXSID1021407","LC50",2500,"ug/L","Fathead Minnow","Fish",227.085
"213","nitroglycerin","DTXSID1021407","LC50",6100,"ug/L","Bluegill","Fish",227.085
"214","nitroglycerin","DTXSID1021407","LC50",6180,"ug/L","Bluegill","Fish",227.085
"215","nitroglycerin","DTXSID1021407","LC50",6200,"ug/L","Bluegill","Fish",227.085
"216","nitroglycerin","DTXSID1021407","LC50",6230,"ug/L","Bluegill","Fish",227.085
"217","nitroglycerin","DTXSID1021407","LC50",6300,"ug/L","Fathead Minnow","Fish",227.085
"218","nitroglycerin","DTXSID1021407","LC50",6380,"ug/L","Bluegill","Fish",227.085
"219","nitroglycerin","DTXSID1021407","LC50",6390,"ug/L","Bluegill","Fish",227.085
"220","nitroglycerin","DTXSID1021407","LC50",6400,"ug/L","Bluegill","Fish",227.085
"221","nitroglycerin","DTXSID1021407","LC50",2700,"ug/L","Bluegill","Fish",227.085
"222","nitroglycerin","DTXSID1021407","LC50",6500,"ug/L","Channel Catfish","Fish",227.085
"223","nitroglycerin","DTXSID1021407","LC50",6670,"ug/L","Bluegill","Fish",227.085
"224","nitroglycerin","DTXSID1021407","LC50",6800,"ug/L","Fathead Minnow","Fish",227.085
"225","nitroglycerin","DTXSID1021407","LC50",10000,"ug/L","Fathead Minnow","Fish",227.085
"226","nitroglycerin","DTXSID1021407","LC50",18000,"ug/L","Fathead Minnow","Fish",227.085
"227","nitroglycerin","DTXSID1021407","LC50",2710,"ug/L","Bluegill","Fish",227.085
"228","nitroglycerin","DTXSID1021407","LC50",2720,"ug/L","Bluegill","Fish",227.085
"229","nitroglycerin","DTXSID1021407","LC50",2800,"ug/L","Rainbow Trout","Fish",227.085
"230","nitroglycerin","DTXSID1021407","LC50",2900,"ug/L","Rainbow Trout","Fish",227.085
"231","nitroglycerin","DTXSID1021407","LC50",3000,"ug/L","Fathead Minnow","Fish",227.085
"232","nitroglycerin","DTXSID1021407","LC50",3100,"ug/L","Bluegill","Fish",227.085
"233","nitroglycerin","DTXSID1021407","LC50",3200,"ug/L","Channel Catfish","Fish",227.085
"234","nitroglycerin","DTXSID1021407","LC50",6.9282,"ug/L","Fathead Minnow","Fish",227.085
"235","nitroglycerin","DTXSID1021407","LC50",1200,"ug/L","Fathead Minnow","Fish",227.085
"236","nitroglycerin","DTXSID1021407","LC50",1380,"ug/L","Bluegill","Fish",227.085
"237","nitroglycerin","DTXSID1021407","LC50",1510,"ug/L","Bluegill","Fish",227.085
"238","nitroglycerin","DTXSID1021407","LC50",1650,"ug/L","Bluegill","Fish",227.085
"239","nitroglycerin","DTXSID1021407","LC50",1670,"ug/L","Bluegill","Fish",227.085
"240","nitroglycerin","DTXSID1021407","LC50",1700,"ug/L","Bluegill","Fish",227.085
"241","nitroglycerin","DTXSID1021407","LC50",1760,"ug/L","Bluegill","Fish",227.085
"242","nitroglycerin","DTXSID1021407","LC50",3400,"ug/L","Fathead Minnow","Fish",227.085
"243","nitroglycerin","DTXSID1021407","LC50",3550,"ug/L","Bluegill","Fish",227.085
"244","nitroglycerin","DTXSID1021407","LC50",3580,"ug/L","Fathead Minnow","Fish",227.085
"245","nitroglycerin","DTXSID1021407","LC50",3600,"ug/L","Bluegill","Fish",227.085
"246","nitroglycerin","DTXSID1021407","LC50",3700,"ug/L","Bluegill","Fish",227.085
"247","nitroglycerin","DTXSID1021407","LC50",3800,"ug/L","Bluegill","Fish",227.085
"248","nitroglycerin","DTXSID1021407","LC50",3900,"ug/L","Bluegill","Fish",227.085
"249","nitroglycerin","DTXSID1021407","LC50",4100,"ug/L","Fathead Minnow","Fish",227.085
"250","nitroglycerin","DTXSID1021407","LC50",4300,"ug/L","Bluegill","Fish",227.085
"251","nitroglycerin","DTXSID1021407","LC50",4700,"ug/L","Channel Catfish","Fish",227.085
"252","nitroglycerin","DTXSID1021407","LC50",4800,"ug/L","Fathead Minnow","Fish",227.085
"253","nitroglycerin","DTXSID1021407","LC50",4820,"ug/L","Bluegill","Fish",227.085
"254","nitroglycerin","DTXSID1021407","LC50",4910,"ug/L","Bluegill","Fish",227.085
"255","nitroglycerin","DTXSID1021407","LC50",5500,"ug/L","Fathead Minnow","Fish",227.085
"256","nitroglycerin","DTXSID1021407","LC50",6090,"ug/L","Bluegill","Fish",227.085
"257","nitroglycerin","DTXSID1021407","LC50",1900,"ug/L","Rainbow Trout","Fish",227.085
"258","nitroglycerin","DTXSID1021407","LC50",3580,"ug/L","Fathead Minnow","Fish",227.085
"259","ethinyl estradiol","DTXSID5020576","LC50",0.1,"ug/L","Zebra Danio","Fish",296.41
"260","ethinyl estradiol","DTXSID5020576","LC50",560.214,"ug/L","Wood Frog","Amphibians",296.41
"261","ethinyl estradiol","DTXSID5020576","LC50",815.126,"ug/L","Leopard Frog","Amphibians",296.41
"262","ethinyl estradiol","DTXSID5020576","LC50",892.192,"ug/L","Leopard Frog","Amphibians",296.41
"263","ethinyl estradiol","DTXSID5020576","LC50",1236.03,"ug/L","Leopard Frog","Amphibians",296.41
"264","ethinyl estradiol","DTXSID5020576","LC50",1700,"ug/L","Zebra Danio","Fish",296.41
"265","ethinyl estradiol","DTXSID5020576","LC50",0.1,"ug/L","Zebra Danio","Fish",296.41
"266","ethinyl estradiol","DTXSID5020576","LC50",0.001,"ug/L","Japanese Medaka","Fish",296.41
"267","ethinyl estradiol","DTXSID5020576","LC50",1700,"ug/L","Zebra Danio","Fish",296.41
"268","ethinyl estradiol","DTXSID5020576","LC50",0.1,"ug/L","Zebra Danio","Fish",296.41
"269","norethindrone","DTXSID9023380","LC50",14.8,"ug/L","Fathead Minnow","Fish",298.426
"270","dexamethasone","DTXSID3020384","LC50",254,"ug/L","Fathead Minnow","Fish",392.467
"271","permethrin","DTXSID8022292","LC50",685,"ug/L","Mouse","Mammals",391.29
"272","permethrin","DTXSID8022292","LC50",485,"ug/L","Rat","Mammals",391.29
