"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","Molar_Mass"
"77","atorvastatin","DTXSID8029868","LC50",2600,"ug/L","Barnacle","Crustaceans",558.65
"78","sertraline","DTXSID6023577","LC50",600,"ug/L","Fairy Shrimp","Crustaceans",306.23
"79","sertraline","DTXSID6023577","LC50",1300,"ug/L","Water Flea","Crustaceans",306.23
"80","sertraline","DTXSID6023577","LC50",120,"ug/L","Water Flea","Crustaceans",306.23
"81","sertraline","DTXSID6023577","LC50",120,"ug/L","Water Flea","Crustaceans",306.23
"82","sertraline","DTXSID6023577","LC50",147,"ug/L","Water Flea","Crustaceans",306.23
"83","sertraline","DTXSID6023577","LC50",475.02,"ug/L","Blackfly","Insects/Spiders",306.23
"84","sertraline","DTXSID6023577","LC50",120,"ug/L","Water Flea","Crustaceans",306.23
"85","sertraline","DTXSID6023577","LC50",433,"ug/L","Water Flea","Crustaceans",306.23
"86","sertraline","DTXSID6023577","LC50",600,"ug/L","Fairy Shrimp","Crustaceans",306.23
"87","sertraline","DTXSID6023577","LC50",1300,"ug/L","Water Flea","Crustaceans",306.23
"88","sertraline","DTXSID6023577","LC50",3100,"ug/L","Water Flea","Crustaceans",306.23
"89","sertraline","DTXSID6023577","LC50",3100,"ug/L","Water Flea","Crustaceans",306.23
"90","gemfibrozil","DTXSID0020652","LC50",77300,"ug/L","Rotifer","Invertebrates",250.338
"91","gemfibrozil","DTXSID0020652","LC50",161050,"ug/L","Fairy Shrimp","Crustaceans",250.338
"92","gemfibrozil","DTXSID0020652","LC50",10400,"ug/L","Water Flea","Crustaceans",250.338
"93","gemfibrozil","DTXSID0020652","LC50",22360,"ug/L","Hydra","Invertebrates",250.338
"94","gemfibrozil","DTXSID0020652","LC50",10400,"ug/L","Water Flea","Crustaceans",250.338
"95","gemfibrozil","DTXSID0020652","LC50",30300,"ug/L","Water Flea","Crustaceans",250.338
"96","gemfibrozil","DTXSID0020652","LC50",56600,"ug/L","Water Flea","Crustaceans",250.338
"97","gemfibrozil","DTXSID0020652","LC50",66000,"ug/L","Ciliate","Invertebrates",250.338
"98","gemfibrozil","DTXSID0020652","LC50",74000,"ug/L","Water Flea","Crustaceans",250.338
"99","gemfibrozil","DTXSID0020652","LC50",78000,"ug/L","Rotifer","Invertebrates",250.338
"100","gemfibrozil","DTXSID0020652","LC50",127600,"ug/L","Harpacticoid Copepod","Crustaceans",250.338
"101","gemfibrozil","DTXSID0020652","LC50",22400,"ug/L","Bean Blossom Thrips","Insects/Spiders",250.338
"102","gemfibrozil","DTXSID0020652","LC50",30300,"ug/L","Water Flea","Crustaceans",250.338
"103","gemfibrozil","DTXSID0020652","LC50",74000,"ug/L","Water Flea","Crustaceans",250.338
"104","gemfibrozil","DTXSID0020652","LC50",77300,"ug/L","Rotifer","Invertebrates",250.338
"105","gemfibrozil","DTXSID0020652","LC50",78000,"ug/L","Rotifer","Invertebrates",250.338
"106","gemfibrozil","DTXSID0020652","LC50",161000,"ug/L","Fairy Shrimp","Crustaceans",250.338
"107","carbamazepine","DTXSID4022731","LC50",9900,"ug/L","Scud","Crustaceans",236.274
"108","carbamazepine","DTXSID4022731","LC50",47300,"ug/L","Midge","Insects/Spiders",236.274
"109","carbamazepine","DTXSID4022731","LC50",70700,"ug/L","Flatworm","Worms",236.274
"110","carbamazepine","DTXSID4022731","LC50",1e+05,"ug/L","Fairy Shrimp","Crustaceans",236.274
"111","carbamazepine","DTXSID4022731","LC50",100500,"ug/L","Flatworm","Worms",236.274
"112","carbamazepine","DTXSID4022731","LC50",138600,"ug/L","Rotifer","Invertebrates",236.274
"113","carbamazepine","DTXSID4022731","LC50",163800,"ug/L","Flatworm","Worms",236.274
"114","carbamazepine","DTXSID4022731","LC50",229900,"ug/L","Flatworm","Worms",236.274
"115","carbamazepine","DTXSID4022731","LC50",4000,"ug/L","Oligochaete, Worm","Worms",236.274
"116","carbamazepine","DTXSID4022731","LC50",29400,"ug/L","Hydra","Invertebrates",236.274
"117","carbamazepine","DTXSID4022731","LC50",111000,"ug/L","Water Flea","Crustaceans",236.274
"118","carbamazepine","DTXSID4022731","LC50",29400,"ug/L","Bean Blossom Thrips","Insects/Spiders",236.274
"119","carbamazepine","DTXSID4022731","LC50",111000,"ug/L","Water Flea","Crustaceans",236.274
"120","metronidazole","DTXSID2020892","LC50",182000,"ug/L","Opossum Shrimp","Crustaceans",171.156
"121","diphenhydramine","DTXSID4022949","LC50",3940,"ug/L","Water Flea","Crustaceans",255.361
"122","fenofibrate","DTXSID2029874","LC50",65000,"ug/L","Rotifer","Invertebrates",360.83
"123","fenofibrate","DTXSID2029874","LC50",64970,"ug/L","Rotifer","Invertebrates",360.83
"124","levofloxacin","DTXSID0041060","LC50",6000,"ug/L","Water Flea","Crustaceans",361.373
"125","levofloxacin","DTXSID0041060","LC50",8000,"ug/L","Water Flea","Crustaceans",361.373
"126","levofloxacin","DTXSID0041060","LC50",9000,"ug/L","Water Flea","Crustaceans",361.373
"127","levofloxacin","DTXSID0041060","LC50",11000,"ug/L","Water Flea","Crustaceans",361.373
"128","levofloxacin","DTXSID0041060","LC50",28000,"ug/L","Water Flea","Crustaceans",361.373
"129","levofloxacin","DTXSID0041060","LC50",35000,"ug/L","Water Flea","Crustaceans",361.373
"130","ranitidine","DTXSID8045191","LC50",1e+05,"ug/L","Rotifer","Invertebrates",314.4
"131","verapamil","DTXSID9041152","LC50",11330,"ug/L","Water Flea","Crustaceans",454.611
"132","verapamil","DTXSID9041152","LC50",13040,"ug/L","Water Flea","Crustaceans",454.611
"133","verapamil","DTXSID9041152","LC50",15210,"ug/L","Water Flea","Crustaceans",454.611
"134","erythromycin","DTXSID4022991","LC50",17680,"ug/L","Fairy Shrimp","Crustaceans",733.937
"135","erythromycin","DTXSID4022991","LC50",27530,"ug/L","Rotifer","Invertebrates",733.937
"136","erythromycin","DTXSID4022991","LC50",16000,"ug/L","Ciliate","Invertebrates",733.937
"137","erythromycin","DTXSID4022991","LC50",24000,"ug/L","Water Flea","Crustaceans",733.937
"138","erythromycin","DTXSID4022991","LC50",28000,"ug/L","Rotifer","Invertebrates",733.937
"139","erythromycin","DTXSID4022991","LC50",30800,"ug/L","White Shrimp","Crustaceans",733.937
"140","erythromycin","DTXSID4022991","LC50",50000,"ug/L","White Shrimp","Crustaceans",733.937
"141","erythromycin","DTXSID4022991","LC50",85000,"ug/L","White Shrimp","Crustaceans",733.937
"142","erythromycin","DTXSID4022991","LC50",17700,"ug/L","Fairy Shrimp","Crustaceans",733.937
"143","erythromycin","DTXSID4022991","LC50",24000,"ug/L","Water Flea","Crustaceans",733.937
"144","erythromycin","DTXSID4022991","LC50",27500,"ug/L","Rotifer","Invertebrates",733.937
"145","erythromycin","DTXSID4022991","LC50",28000,"ug/L","Rotifer","Invertebrates",733.937
"146","diclofenac","DTXSID6022923","LC50",94100,"ug/L","Water Flea","Crustaceans",296.15
"147","diclofenac","DTXSID6022923","LC50",10.436,"ug/L","Mysid","Crustaceans",296.15
"148","diclofenac","DTXSID6022923","LC50",2919,"ug/L","Mysid","Crustaceans",296.15
"149","diclofenac","DTXSID6022923","LC50",15800,"ug/L","Harpacticoid Copepod","Crustaceans",296.15
"150","diclofenac","DTXSID6022923","LC50",56600,"ug/L","Water Flea","Crustaceans",296.15
"151","diclofenac","DTXSID6022923","LC50",80100,"ug/L","Water Flea","Crustaceans",296.15
"152","diclofenac","DTXSID6022923","LC50",94100,"ug/L","Water Flea","Crustaceans",296.15
"153","diclofenac","DTXSID6022923","LC50",80100,"ug/L","Water Flea","Crustaceans",296.15
"154","atenolol","DTXSID2022628","LC50",1e+05,"ug/L","Fairy Shrimp","Crustaceans",266.341
"155","atenolol","DTXSID2022628","LC50",3e+05,"ug/L","Rotifer","Invertebrates",266.341
"156","atenolol","DTXSID2022628","LC50",5e+05,"ug/L","Flatworm","Worms",266.341
"157","atenolol","DTXSID2022628","LC50",1300000,"ug/L","Barnacle","Crustaceans",266.341
"158","fluoxetine","DTXSID7023067","LC50",510,"ug/L","Water Flea","Crustaceans",309.332
"159","fluoxetine","DTXSID7023067","LC50",145,"ug/L","Water Flea","Crustaceans",309.332
"160","fluoxetine","DTXSID7023067","LC50",150,"ug/L","Ciliate","Invertebrates",309.332
"161","fluoxetine","DTXSID7023067","LC50",184,"ug/L","Water Flea","Crustaceans",309.332
"162","fluoxetine","DTXSID7023067","LC50",230,"ug/L","Rotifer","Invertebrates",309.332
"163","fluoxetine","DTXSID7023067","LC50",326,"ug/L","Water Flea","Crustaceans",309.332
"164","fluoxetine","DTXSID7023067","LC50",830,"ug/L","Water Flea","Crustaceans",309.332
"165","fluoxetine","DTXSID7023067","LC50",150000,"ug/L","Ciliate","Invertebrates",309.332
"166","fluoxetine","DTXSID7023067","LC50",230000,"ug/L","Rotifer","Invertebrates",309.332
"167","fluoxetine","DTXSID7023067","LC50",830000,"ug/L","Water Flea","Crustaceans",309.332
"168","fluoxetine","DTXSID7023067","LC50",230000,"ug/L","Rotifer","Invertebrates",309.332
"169","fluoxetine","DTXSID7023067","LC50",830000,"ug/L","Water Flea","Crustaceans",309.332
"170","fluoxetine","DTXSID7023067","LC50",380,"ug/L","Water Flea","Crustaceans",309.332
"171","fluoxetine","DTXSID7023067","LC50",510,"ug/L","Water Flea","Crustaceans",309.332
"172","phenytoin","DTXSID8020541","LC50",62563.6,"ug/L","Fairy Shrimp","Crustaceans",252.273
"173","phenytoin","DTXSID8020541","LC50",9989990,"ug/L","Rotifer","Invertebrates",252.273
"174","phenytoin","DTXSID8020541","LC50",4460,"ug/L","Rotifer","Invertebrates",252.273
"175","phenytoin","DTXSID8020541","LC50",62600,"ug/L","Fairy Shrimp","Crustaceans",252.273
"176","propranolol","DTXSID6023525","LC50",1867.31,"ug/L","Fairy Shrimp","Crustaceans",259.349
"177","propranolol","DTXSID6023525","LC50",2593.48,"ug/L","Rotifer","Invertebrates",259.349
"178","propranolol","DTXSID6023525","LC50",10310,"ug/L","Fairy Shrimp","Crustaceans",259.349
"179","propranolol","DTXSID6023525","LC50",407177,"ug/L","Brine Shrimp","Crustaceans",259.349
"180","propranolol","DTXSID6023525","LC50",800,"ug/L","Water Flea","Crustaceans",259.349
"181","propranolol","DTXSID6023525","LC50",1600,"ug/L","Water Flea","Crustaceans",259.349
"182","propranolol","DTXSID6023525","LC50",13800,"ug/L","Water Flea","Crustaceans",259.349
"183","propranolol","DTXSID6023525","LC50",29800,"ug/L","Scud","Crustaceans",259.349
"184","propranolol","DTXSID6023525","LC50",800,"ug/L","Water Flea","Crustaceans",259.349
"185","propranolol","DTXSID6023525","LC50",1600,"ug/L","Water Flea","Crustaceans",259.349
"186","propranolol","DTXSID6023525","LC50",1870,"ug/L","Fairy Shrimp","Crustaceans",259.349
"187","propranolol","DTXSID6023525","LC50",2590,"ug/L","Rotifer","Invertebrates",259.349
"188","propranolol","DTXSID6023525","LC50",10300,"ug/L","Fairy Shrimp","Crustaceans",259.349
"189","propranolol","DTXSID6023525","LC50",13800,"ug/L","Water Flea","Crustaceans",259.349
"190","citalopram","DTXSID8022826","LC50",3900,"ug/L","Water Flea","Crustaceans",324.399
"191","citalopram","DTXSID8022826","LC50",3400,"ug/L","Water Flea","Crustaceans",324.399
"192","citalopram","DTXSID8022826","LC50",3900,"ug/L","Water Flea","Crustaceans",324.399
"193","famotidine","DTXSID5023039","LC50",1e+05,"ug/L","Fairy Shrimp","Crustaceans",337.44
"194","amitriptyline","DTXSID7022594","LC50",776.746,"ug/L","Fairy Shrimp","Crustaceans",277.411
"195","amitriptyline","DTXSID7022594","LC50",804.487,"ug/L","Rotifer","Invertebrates",277.411
"196","amitriptyline","DTXSID7022594","LC50",36895.4,"ug/L","Brine Shrimp","Crustaceans",277.411
"197","amitriptyline","DTXSID7022594","LC50",777,"ug/L","Fairy Shrimp","Crustaceans",277.411
"198","amitriptyline","DTXSID7022594","LC50",804,"ug/L","Rotifer","Invertebrates",277.411
"199","clarithromycin","DTXSID3022829","LC50",33640,"ug/L","Fairy Shrimp","Crustaceans",747.964
"200","clarithromycin","DTXSID3022829","LC50",35460,"ug/L","Rotifer","Invertebrates",747.964
"201","clarithromycin","DTXSID3022829","LC50",35500,"ug/L","Rotifer","Invertebrates",747.964
"202","clarithromycin","DTXSID3022829","LC50",94230,"ug/L","Fairy Shrimp","Crustaceans",747.964
"203","clarithromycin","DTXSID3022829","LC50",33600,"ug/L","Fairy Shrimp","Crustaceans",747.964
"204","clarithromycin","DTXSID3022829","LC50",94200,"ug/L","Fairy Shrimp","Crustaceans",747.964
"205","fluconazole","DTXSID3020627","LC50",1e+05,"ug/L","Fairy Shrimp","Crustaceans",306.277
"206","fluconazole","DTXSID3020627","LC50",1087890,"ug/L","Sea Squirt","Invertebrates",306.277
"207","ampicillin","DTXSID4022602","LC50",127800,"ug/L","Southern House Mosquito","Insects/Spiders",349.41
"208","ampicillin","DTXSID4022602","LC50",127800,"ug/L","Southern House Mosquito","Insects/Spiders",349.41
"209","paroxetine","DTXSID3023425","LC50",580,"ug/L","Water Flea","Crustaceans",329.371
"210","paroxetine","DTXSID3023425","LC50",580,"ug/L","Water Flea","Crustaceans",329.371
"211","paroxetine","DTXSID3023425","LC50",734,"ug/L","Water Flea","Crustaceans",329.371
"212","indomethacin","DTXSID9020740","LC50",16140,"ug/L","Fairy Shrimp","Crustaceans",357.79
"213","indomethacin","DTXSID9020740","LC50",16100,"ug/L","Fairy Shrimp","Crustaceans",357.79
"214","diazepam","DTXSID4020406","LC50",12200,"ug/L","Brine Shrimp","Crustaceans",284.74
"215","diazepam","DTXSID4020406","LC50",65491.3,"ug/L","Brine Shrimp","Crustaceans",284.74
"216","diazepam","DTXSID4020406","LC50",103078,"ug/L","Fairy Shrimp","Crustaceans",284.74
"217","diazepam","DTXSID4020406","LC50",9994550,"ug/L","Rotifer","Invertebrates",284.74
"218","diazepam","DTXSID4020406","LC50",9197.26,"ug/L","Water Flea","Crustaceans",284.74
"219","diazepam","DTXSID4020406","LC50",9567.43,"ug/L","Water Flea","Crustaceans",284.74
"220","diazepam","DTXSID4020406","LC50",14066.4,"ug/L","Water Flea","Crustaceans",284.74
"221","diazepam","DTXSID4020406","LC50",37301.6,"ug/L","Fairy Shrimp","Crustaceans",284.74
"222","diazepam","DTXSID4020406","LC50",41003.3,"ug/L","Fairy Shrimp","Crustaceans",284.74
"223","diazepam","DTXSID4020406","LC50",47267.7,"ug/L","Rotifer","Invertebrates",284.74
"224","diazepam","DTXSID4020406","LC50",65491.3,"ug/L","Brine Shrimp","Crustaceans",284.74
"225","diazepam","DTXSID4020406","LC50",68623.5,"ug/L","Brine Shrimp","Crustaceans",284.74
"226","diazepam","DTXSID4020406","LC50",81721.8,"ug/L","Brine Shrimp","Crustaceans",284.74
"227","diazepam","DTXSID4020406","LC50",99945.5,"ug/L","Fairy Shrimp","Crustaceans",284.74
"228","diazepam","DTXSID4020406","LC50",103078,"ug/L","Fairy Shrimp","Crustaceans",284.74
"229","diazepam","DTXSID4020406","LC50",495456,"ug/L","Rotifer","Invertebrates",284.74
"230","diazepam","DTXSID4020406","LC50",9994550,"ug/L","Rotifer","Invertebrates",284.74
"231","diazepam","DTXSID4020406","LC50",9200,"ug/L","Water Flea","Crustaceans",284.74
"232","diazepam","DTXSID4020406","LC50",9570,"ug/L","Water Flea","Crustaceans",284.74
"233","diazepam","DTXSID4020406","LC50",14100,"ug/L","Water Flea","Crustaceans",284.74
"234","diazepam","DTXSID4020406","LC50",37300,"ug/L","Fairy Shrimp","Crustaceans",284.74
"235","diazepam","DTXSID4020406","LC50",41000,"ug/L","Fairy Shrimp","Crustaceans",284.74
"236","diazepam","DTXSID4020406","LC50",47300,"ug/L","Rotifer","Invertebrates",284.74
"237","diazepam","DTXSID4020406","LC50",68600,"ug/L","Brine Shrimp","Crustaceans",284.74
"238","diazepam","DTXSID4020406","LC50",81700,"ug/L","Brine Shrimp","Crustaceans",284.74
"239","diazepam","DTXSID4020406","LC50",99900,"ug/L","Fairy Shrimp","Crustaceans",284.74
"240","diazepam","DTXSID4020406","LC50",103000,"ug/L","Fairy Shrimp","Crustaceans",284.74
"241","diazepam","DTXSID4020406","LC50",495000,"ug/L","Rotifer","Invertebrates",284.74
"242","sulfamethoxazole","DTXSID8026064","LC50",26270,"ug/L","Rotifer","Invertebrates",253.28
"243","sulfamethoxazole","DTXSID8026064","LC50",35360,"ug/L","Fairy Shrimp","Crustaceans",253.28
"244","sulfamethoxazole","DTXSID8026064","LC50",126700,"ug/L","Flatworm","Worms",253.28
"245","sulfamethoxazole","DTXSID8026064","LC50",208500,"ug/L","Flatworm","Worms",253.28
"246","sulfamethoxazole","DTXSID8026064","LC50",234180,"ug/L","Water Flea","Crustaceans",253.28
"247","sulfamethoxazole","DTXSID8026064","LC50",276100,"ug/L","Rotifer","Invertebrates",253.28
"248","sulfamethoxazole","DTXSID8026064","LC50",282800,"ug/L","Flatworm","Worms",253.28
"249","sulfamethoxazole","DTXSID8026064","LC50",333000,"ug/L","Flatworm","Worms",253.28
"250","sulfamethoxazole","DTXSID8026064","LC50",1e+05,"ug/L","Hydra","Invertebrates",253.28
"251","sulfamethoxazole","DTXSID8026064","LC50",26300,"ug/L","Rotifer","Invertebrates",253.28
"252","sulfamethoxazole","DTXSID8026064","LC50",35400,"ug/L","Fairy Shrimp","Crustaceans",253.28
"253","warfarin","DTXSID5023742","LC50",342250,"ug/L","Fairy Shrimp","Crustaceans",308.333
"254","warfarin","DTXSID5023742","LC50",444000,"ug/L","Rotifer","Invertebrates",308.333
"255","warfarin","DTXSID5023742","LC50",3638340,"ug/L","Brine Shrimp","Crustaceans",308.333
"256","warfarin","DTXSID5023742","LC50",342000,"ug/L","Fairy Shrimp","Crustaceans",308.333
"257","warfarin","DTXSID5023742","LC50",444000,"ug/L","Rotifer","Invertebrates",308.333
"258","trimethoprim","DTXSID3023712","LC50",189500,"ug/L","Rotifer","Invertebrates",290.323
"259","trimethoprim","DTXSID3023712","LC50",235600,"ug/L","Flatworm","Worms",290.323
"260","trimethoprim","DTXSID3023712","LC50",243900,"ug/L","Flatworm","Worms",290.323
"261","trimethoprim","DTXSID3023712","LC50",271600,"ug/L","Flatworm","Worms",290.323
"262","trimethoprim","DTXSID3023712","LC50",331000,"ug/L","Flatworm","Worms",290.323
"263","nadolol","DTXSID3023342","LC50",615100,"ug/L","Flatworm","Worms",309.406
"264","nadolol","DTXSID3023342","LC50",621400,"ug/L","Flatworm","Worms",309.406
"265","nadolol","DTXSID3023342","LC50",1e+05,"ug/L","Scud","Crustaceans",309.406
"266","nitroglycerin","DTXSID1021407","LC50",17430,"ug/L","Hydra","Invertebrates",227.085
"267","nitroglycerin","DTXSID1021407","LC50",17830,"ug/L","Water Flea","Crustaceans",227.085
"268","nitroglycerin","DTXSID1021407","LC50",20000,"ug/L","Midge","Insects/Spiders",227.085
"269","nitroglycerin","DTXSID1021407","LC50",32000,"ug/L","Water Flea","Crustaceans",227.085
"270","nitroglycerin","DTXSID1021407","LC50",34930,"ug/L","Midge","Insects/Spiders",227.085
"271","nitroglycerin","DTXSID1021407","LC50",57000,"ug/L","Midge","Insects/Spiders",227.085
"272","nitroglycerin","DTXSID1021407","LC50",72000,"ug/L","Water Flea","Crustaceans",227.085
"273","nitroglycerin","DTXSID1021407","LC50",17400,"ug/L","Hydra","Invertebrates",227.085
"274","nitroglycerin","DTXSID1021407","LC50",17800,"ug/L","Water Flea","Crustaceans",227.085
"275","nitroglycerin","DTXSID1021407","LC50",20000,"ug/L","Midge","Insects/Spiders",227.085
"276","nitroglycerin","DTXSID1021407","LC50",32000,"ug/L","Water Flea","Crustaceans",227.085
"277","nitroglycerin","DTXSID1021407","LC50",72000,"ug/L","Water Flea","Crustaceans",227.085
"278","colchicine","DTXSID5024845","LC50",5e+05,"ug/L","Snail","Molluscs",399.443
"279","digoxin","DTXSID5022934","LC50",9996170,"ug/L","Fairy Shrimp","Crustaceans",780.949
