"","Ensemble_number","Drug","Predicted_concentration","Predicted_mass_load"
"108",1,"clarithromycin",0,0
"109",1,"clavulanate",0,0
"110",1,"clindamycin",0,0
"111",1,"clobetasol",0,0
"112",1,"clonazepam",0,0
"113",1,"clonidine",0,0
"114",1,"clotrimazole",0,0
"115",1,"codeine",0,0
"116",1,"colchicine",0,0
"117",1,"cromolyn",0,0
"118",1,"cyclosporine",0,0
"119",1,"cyproheptadine",0,0
"120",1,"dabigatran",0,0
"121",1,"dapagliflozin",0,0
"122",1,"dapsone",0,0
"123",1,"desloratadine",0,0
"124",1,"desonide",0,0
"125",1,"desvenlafaxine",0,0
"126",1,"dexamethasone",0,0
"127",1,"dexlansoprazole",0,0
"128",1,"dexmethylphenidate",0,0
"129",1,"dextroamphetamine",0,0
"130",1,"dextromethorphan",0,0
"131",1,"diazepam",0,0
"132",1,"diclofenac",0,0
"133",1,"digoxin",0,0
"134",1,"diltiazem",0,0
"135",1,"diphenhydramine",0,0
"136",1,"divalproex sodium",0,0
"137",1,"docusate",0,0
"138",1,"dorzolamide",0,0
"139",1,"doxepin",0,0
"140",1,"doxycycline",0,0
"141",1,"dulaglutide",0,0
"142",1,"enalapril",0,0
"143",1,"epinastine",0,0
"144",1,"ertugliflozin",0,0
"145",1,"erythromycin",0,0
"146",1,"esomeprazole",0,0
"147",1,"eszopiclone",0,0
"148",1,"ethinyl estradiol",0,0
"149",1,"etodolac",0,0
"150",1,"ezetimibe",0,0
"151",1,"famotidine",0,0
"152",1,"felodipine",0,0
"153",1,"fenofibrate",0,0
"154",1,"fexofenadine",0,0
"155",1,"finasteride",0,0
"156",1,"fluconazole",0,0
"157",1,"flunisolide",0,0
"158",1,"fluocinonide",0,0
"159",1,"fluorouracil",0,0
"160",1,"flurbiprofen",0,0
"161",1,"formoterol",0,0
"162",1,"gemfibrozil",0,0
"163",1,"gentamicin",0,0
"164",1,"glimepiride",0,0
"165",1,"glyburide",0,0
"166",1,"guaifenesin",0,0
"167",1,"guanfacine",0,0
"168",1,"haloperidol",0,0
"169",1,"hydrocodone",0,0
"170",1,"hydrocortisone",0,0
"171",1,"hydromorphone",0,0
"172",1,"hydroxychloroquine",0,0
"173",1,"hydroxyzine",0,0
"174",1,"hyoscyamine",0,0
"175",1,"ibandronate",0,0
"176",1,"ibuprofen",0,0
"177",1,"imiquimod",0,0
"178",1,"indomethacin",0,0
"179",1,"ipratropium",0,0
"180",1,"isosorbide dinitrate",0,0
"181",1,"isosorbide mononitrate",0,0
"182",1,"isotretinoin",0,0
"183",1,"ivermectin",0,0
"184",1,"ketoconazole",0,0
"185",1,"ketoprofen",0,0
"186",1,"ketorolac",0,0
"187",1,"ketotifen",0,0
"188",1,"lactulose",0,0
"189",1,"lamotrigine",0,0
"190",1,"lansoprazole",0,0
"191",1,"leflunomide",0,0
"192",1,"letrozole",0,0
"193",1,"levalbuterol",0,0
"194",1,"levetiracetam",0,0
"195",1,"levocetirizine",0,0
"196",1,"levofloxacin",0,0
"197",1,"levonorgestrel",0,0
"198",1,"lidocaine",0,0
"199",1,"linaclotide",0,0
"200",1,"linagliptin",0,0
"201",1,"liraglutide",0,0
"202",1,"lisdexamfetamine",0,0
"203",1,"loperamide",0,0
"204",1,"loratadine",0,0
"205",1,"lorazepam",0,0
"206",1,"loteprednol",0,0
"207",1,"meclizine",0,0
"208",1,"medroxyprogesterone",0,0
"209",1,"memantine",0,0
"210",1,"mesalamine",0,0
"211",1,"metaxalone",0,0
"212",1,"methimazole",0,0
"213",1,"methocarbamol",0,0
"214",1,"methotrexate",0,0
"215",1,"methylphenidate",0,0
"216",1,"methylprednisolone",0,0
"217",1,"metoclopramide",0,0
"218",1,"metronidazole",0,0
"219",1,"mirtazapine",0,0
"220",1,"modafinil",0,0
"221",1,"morphine",0,0
"222",1,"moxifloxacin",0,0
"223",1,"mupirocin",0,0
"224",1,"mycophenolate mofetil",0,0
"225",1,"nabumetone",0,0
"226",1,"nadolol",0,0
"227",1,"naltrexone",0,0
"228",1,"naproxen",0,0
"229",1,"nebivolol",0,0
"230",1,"nitrofurantoin",0,0
"231",1,"nitroglycerin",0,0
"232",1,"nortriptyline",0,0
"233",1,"ofloxacin",0,0
"234",1,"olanzapine",0,0
"235",1,"olmesartan",0,0
"236",1,"olopatadine",0,0
"237",1,"ondansetron",0,0
"238",1,"oseltamivir",0,0
"239",1,"oxcarbazepine",0,0
"240",1,"oxybutynin",0,0
"241",1,"oxycodone",0,0
"242",1,"oxymetazoline",0,0
"243",1,"paroxetine",0,0
"244",1,"penicillin v potassium",0,0
"245",1,"permethrin",0,0
"246",1,"phenazopyridine",0,0
"247",1,"phentermine",0,0
"248",1,"phenytoin",0,0
"249",1,"pioglitazone",0,0
"250",1,"piroxicam",0,0
"251",1,"pitavastatin",0,0
"252",1,"podofilox",0,0
"253",1,"povidone iodine",0,0
"254",1,"pramipexole",0,0
"255",1,"pravastatin",0,0
"256",1,"prazosin",0,0
"257",1,"prednisolone",0,0
"258",1,"prednisone",0,0
"259",1,"pregabalin",0,0
"260",1,"primidone",0,0
"261",1,"prochlorperazine",0,0
"262",1,"promethazine",0,0
"263",1,"propranolol",0,0
"264",1,"pseudoephedrine",0,0
"265",1,"quetiapine",0,0
"266",1,"quinapril",0,0
"267",1,"raloxifene",0,0
"268",1,"ranitidine",0,0
"269",1,"ranolazine",0,0
"270",1,"rivaroxaban",0,0
"271",1,"rizatriptan",0,0
"272",1,"ropinirole",0,0
"273",1,"salmeterol",0,0
"274",1,"semaglutide",0,0
"275",1,"senna",0,0
"276",1,"sildenafil",0,0
"277",1,"silver sulfadiazine",0,0
"278",1,"sitagliptin",0,0
"279",1,"solifenacin",0,0
"280",1,"sotalol",0,0
"281",1,"spinosad",0,0
"282",1,"sulfacetamide sodium",0,0
"283",1,"sulfamethoxazole",0,0
"284",1,"sulfasalazine",0,0
"285",1,"sulindac",0,0
"286",1,"sumatriptan",0,0
"287",1,"tacrolimus",0,0
"288",1,"tadalafil",0,0
"289",1,"tamoxifen",0,0
"290",1,"tamsulosin",0,0
"291",1,"temazepam",0,0
"292",1,"terazosin",0,0
"293",1,"terbinafine",0,0
"294",1,"ticagrelor",0,0
"295",1,"tiotropium",0,0
"296",1,"tizanidine",0,0
"297",1,"tobramycin",0,0
"298",1,"topiramate",0,0
"299",1,"torsemide",0,0
"300",1,"travoprost",0,0
"301",1,"triamcinolone",0,0
"302",1,"triamterene",0,0
"303",1,"trimethoprim",0,0
"304",1,"triprolidine",0,0
"305",1,"umeclidinium",0,0
"306",1,"valacyclovir",0,0
"307",1,"valsartan",0,0
"308",1,"varenicline",0,0
"309",1,"vortioxetine",0,0
"310",1,"witch hazel",0,0
"311",1,"ziprasidone",0,0
"312",1,"zolpidem",0,0
"313",1,"zonisamide",0,0
"314",2,"metformin",53.7315464926354,16678.4869575
"315",2,"cadexomer iodine",14.4972358603626,4500
"316",2,"gabapentin",8.76672727775737,2721.227213925
"317",2,"ibuprofen",7.15198709496334,2220.005402225
"318",2,"sitagliptin",2.45677510708625,762.59282034
"319",2,"carbamazepine",1.77382614324397,550.6027301675
"320",2,"lisinopril",1.40566392387018,436.323704625
"321",2,"betamethasone",1.20643030776021,374.48079325
"322",2,"losartan",0.725118175075063,225.079582016
"323",2,"furosemide",0.669161561384518,207.7104253
"324",2,"verapamil",0.506420259645494,157.194874275
"325",2,"atorvastatin",0.480591345440136,149.17747599
"326",2,"tramadol",0.4313898449279,133.905133425
"327",2,"lovastatin",0.415441637936367,128.954746182
"328",2,"albuterol",0.413911380304378,128.479748092
"329",2,"clopidogrel",0.374697375855337,116.307564255
"330",2,"hydrochlorothiazide",0.345858355844319,107.3558170875
"331",2,"fenofibrate",0.303821282103323,94.30734125
"332",2,"divalproex sodium",0.250222068417288,77.669930925
"333",2,"lamotrigine",0.221656984768238,68.8032147
"334",2,"duloxetine",0.204100986043994,63.353762472
"335",2,"citalopram",0.198698968231724,61.676954535
"336",2,"omeprazole",0.189066609579773,58.68703188
"337",2,"calcipotriene",0.15818739070695,49.101998825
"338",2,"rivaroxaban",0.133260642970129,41.3646366205
"339",2,"methylphenidate",0.12897056423242,40.03297902
"340",2,"rosuvastatin",0.126667770880852,39.3181827525
"341",2,"celecoxib",0.121414539857734,37.68755883
"342",2,"mirtazapine",0.121066984236672,37.579676175
"343",2,"sertraline",0.113405130974472,35.201406275
"344",2,"olanzapine",0.104929294856864,32.57047284075
"345",2,"quetiapine",0.0984965002061829,30.57370765
"346",2,"simvastatin",0.0613540651699076,19.044547245
"347",2,"metoprolol",0.0582191012035927,18.07144189
"348",2,"torsemide",0.0533355141154753,16.5555569235
"349",2,"montelukast",0.0235170159807863,7.2997758285
"350",2,"donepezil",0.0216154310099097,6.7095162472
"351",2,"dexmethylphenidate",0.0167415505977694,5.19664427175
"352",2,"anastrozole",0.0135970248261137,4.220570894125
"353",2,"carvedilol",0.012501577526385,3.8805396705
"354",2,"amlodipine",0.0117622509052718,3.65104973
"355",2,"bupropion",0.010435459252297,3.23920829375
"356",2,"glipizide",0.0102189442146364,3.17200116
"357",2,"trazodone",0.00847290958718315,2.6300250275
"358",2,"ropinirole",0.00145881161808482,0.4528209615
"359",2,"vortioxetine",0.0013090776600817,0.406342942
"360",2,"tamsulosin",0.00121381334437539,0.3767725173475
"361",2,"fluticasone",0.00077384953387561,0.240205990713125
"362",2,"acetaminophen",0,0
"363",2,"acyclovir",0,0
"364",2,"adapalene",0,0
"365",2,"alendronate",0,0
"366",2,"alfuzosin",0,0
"367",2,"allopurinol",0,0
"368",2,"alogliptin",0,0
"369",2,"alprazolam",0,0
"370",2,"amiodarone",0,0
"371",2,"amitriptyline",0,0
"372",2,"amoxicillin",0,0
"373",2,"amphetamine",0,0
"374",2,"ampicillin",0,0
"375",2,"apixaban",0,0
"376",2,"aripiprazole",0,0
"377",2,"aspirin",0,0
"378",2,"atenolol",0,0
"379",2,"atomoxetine",0,0
"380",2,"azelastine",0,0
"381",2,"azithromycin",0,0
"382",2,"baclofen",0,0
"383",2,"beclomethasone",0,0
"384",2,"benazepril",0,0
"385",2,"benzonatate",0,0
"386",2,"benzoyl peroxide",0,0
"387",2,"benztropine",0,0
"388",2,"bepotastine",0,0
"389",2,"bimatoprost",0,0
"390",2,"bisacodyl",0,0
"391",2,"bismuth subsalicylate",0,0
"392",2,"bisoprolol",0,0
"393",2,"brimonidine",0,0
"394",2,"bromfenac",0,0
"395",2,"budesonide",0,0
"396",2,"bumetanide",0,0
"397",2,"buprenorphine",0,0
"398",2,"buspirone",0,0
"399",2,"canagliflozin",0,0
"400",2,"cefdinir",0,0
"401",2,"cefuroxime",0,0
"402",2,"cephalexin",0,0
"403",2,"cetirizine",0,0
"404",2,"chlorhexidine",0,0
"405",2,"chlorthalidone",0,0
"406",2,"ciclesonide",0,0
"407",2,"ciclopirox",0,0
"408",2,"ciprofloxacin",0,0
"409",2,"clarithromycin",0,0
"410",2,"clavulanate",0,0
"411",2,"clindamycin",0,0
"412",2,"clobetasol",0,0
"413",2,"clonazepam",0,0
"414",2,"clonidine",0,0
"415",2,"clotrimazole",0,0
"416",2,"codeine",0,0
"417",2,"colchicine",0,0
"418",2,"cromolyn",0,0
"419",2,"cyclobenzaprine",0,0
"420",2,"cyclosporine",0,0
"421",2,"cyproheptadine",0,0
"422",2,"dabigatran",0,0
"423",2,"dapagliflozin",0,0
"424",2,"dapsone",0,0
"425",2,"desloratadine",0,0
"426",2,"desonide",0,0
"427",2,"desvenlafaxine",0,0
"428",2,"dexamethasone",0,0
"429",2,"dexlansoprazole",0,0
"430",2,"dextroamphetamine",0,0
"431",2,"dextromethorphan",0,0
"432",2,"diazepam",0,0
"433",2,"diclofenac",0,0
"434",2,"dicyclomine",0,0
"435",2,"digoxin",0,0
"436",2,"diltiazem",0,0
"437",2,"diphenhydramine",0,0
"438",2,"docusate",0,0
"439",2,"dorzolamide",0,0
"440",2,"doxazosin",0,0
"441",2,"doxepin",0,0
"442",2,"doxycycline",0,0
"443",2,"dulaglutide",0,0
"444",2,"empagliflozin",0,0
"445",2,"enalapril",0,0
"446",2,"epinastine",0,0
"447",2,"ertugliflozin",0,0
"448",2,"erythromycin",0,0
"449",2,"escitalopram",0,0
"450",2,"esomeprazole",0,0
"451",2,"eszopiclone",0,0
"452",2,"ethinyl estradiol",0,0
"453",2,"etodolac",0,0
"454",2,"ezetimibe",0,0
"455",2,"famotidine",0,0
"456",2,"felodipine",0,0
"457",2,"fexofenadine",0,0
"458",2,"finasteride",0,0
"459",2,"flecainide",0,0
"460",2,"fluconazole",0,0
"461",2,"flunisolide",0,0
"462",2,"fluocinonide",0,0
"463",2,"fluorouracil",0,0
"464",2,"fluoxetine",0,0
"465",2,"flurbiprofen",0,0
"466",2,"formoterol",0,0
"467",2,"gemfibrozil",0,0
"468",2,"gentamicin",0,0
"469",2,"glimepiride",0,0
"470",2,"glyburide",0,0
"471",2,"guaifenesin",0,0
"472",2,"guanfacine",0,0
"473",2,"haloperidol",0,0
"474",2,"hydralazine",0,0
"475",2,"hydrocodone",0,0
"476",2,"hydrocortisone",0,0
"477",2,"hydromorphone",0,0
"478",2,"hydroxychloroquine",0,0
"479",2,"hydroxyzine",0,0
"480",2,"hyoscyamine",0,0
"481",2,"ibandronate",0,0
"482",2,"imiquimod",0,0
"483",2,"indomethacin",0,0
"484",2,"ipratropium",0,0
"485",2,"irbesartan",0,0
"486",2,"isosorbide dinitrate",0,0
"487",2,"isosorbide mononitrate",0,0
"488",2,"isotretinoin",0,0
"489",2,"ivermectin",0,0
"490",2,"ketoconazole",0,0
"491",2,"ketoprofen",0,0
"492",2,"ketorolac",0,0
"493",2,"ketotifen",0,0
"494",2,"labetalol",0,0
"495",2,"lactulose",0,0
"496",2,"lansoprazole",0,0
"497",2,"latanoprost",0,0
"498",2,"leflunomide",0,0
"499",2,"letrozole",0,0
"500",2,"levalbuterol",0,0
"501",2,"levetiracetam",0,0
"502",2,"levocetirizine",0,0
"503",2,"levofloxacin",0,0
"504",2,"levonorgestrel",0,0
"505",2,"lidocaine",0,0
"506",2,"linaclotide",0,0
"507",2,"linagliptin",0,0
"508",2,"liraglutide",0,0
"509",2,"lisdexamfetamine",0,0
"510",2,"loperamide",0,0
"511",2,"loratadine",0,0
"512",2,"lorazepam",0,0
"513",2,"loteprednol",0,0
"514",2,"lurasidone",0,0
"515",2,"meclizine",0,0
"516",2,"medroxyprogesterone",0,0
"517",2,"meloxicam",0,0
"518",2,"memantine",0,0
"519",2,"mesalamine",0,0
"520",2,"metaxalone",0,0
"521",2,"methimazole",0,0
"522",2,"methocarbamol",0,0
"523",2,"methotrexate",0,0
"524",2,"methylprednisolone",0,0
"525",2,"metoclopramide",0,0
"526",2,"metronidazole",0,0
"527",2,"minocycline",0,0
"528",2,"mirabegron",0,0
"529",2,"modafinil",0,0
"530",2,"mometasone",0,0
"531",2,"morphine",0,0
"532",2,"moxifloxacin",0,0
"533",2,"mupirocin",0,0
"534",2,"mycophenolate mofetil",0,0
"535",2,"nabumetone",0,0
"536",2,"nadolol",0,0
"537",2,"naltrexone",0,0
"538",2,"naproxen",0,0
"539",2,"nebivolol",0,0
"540",2,"nifedipine",0,0
"541",2,"nitrofurantoin",0,0
"542",2,"nitroglycerin",0,0
"543",2,"norethindrone",0,0
"544",2,"nortriptyline",0,0
"545",2,"ofloxacin",0,0
"546",2,"olmesartan",0,0
"547",2,"olopatadine",0,0
"548",2,"ondansetron",0,0
"549",2,"oseltamivir",0,0
"550",2,"oxcarbazepine",0,0
"551",2,"oxybutynin",0,0
"552",2,"oxycodone",0,0
"553",2,"oxymetazoline",0,0
"554",2,"pantoprazole",0,0
"555",2,"paroxetine",0,0
"556",2,"penicillin v potassium",0,0
"557",2,"permethrin",0,0
"558",2,"phenazopyridine",0,0
"559",2,"phentermine",0,0
"560",2,"phenytoin",0,0
"561",2,"pioglitazone",0,0
"562",2,"piroxicam",0,0
"563",2,"pitavastatin",0,0
"564",2,"podofilox",0,0
"565",2,"povidone iodine",0,0
"566",2,"pramipexole",0,0
"567",2,"pravastatin",0,0
"568",2,"prazosin",0,0
"569",2,"prednisolone",0,0
"570",2,"prednisone",0,0
"571",2,"pregabalin",0,0
"572",2,"primidone",0,0
"573",2,"prochlorperazine",0,0
"574",2,"promethazine",0,0
"575",2,"propranolol",0,0
"576",2,"pseudoephedrine",0,0
"577",2,"quinapril",0,0
"578",2,"raloxifene",0,0
"579",2,"ramipril",0,0
"580",2,"ranitidine",0,0
"581",2,"ranolazine",0,0
"582",2,"risperidone",0,0
"583",2,"rizatriptan",0,0
"584",2,"salmeterol",0,0
"585",2,"semaglutide",0,0
"586",2,"senna",0,0
"587",2,"sildenafil",0,0
"588",2,"silver sulfadiazine",0,0
"589",2,"solifenacin",0,0
"590",2,"sotalol",0,0
"591",2,"spinosad",0,0
"592",2,"spironolactone",0,0
"593",2,"sulfacetamide sodium",0,0
"594",2,"sulfamethoxazole",0,0
"595",2,"sulfasalazine",0,0
"596",2,"sulindac",0,0
"597",2,"sumatriptan",0,0
"598",2,"tacrolimus",0,0
"599",2,"tadalafil",0,0
"600",2,"tamoxifen",0,0
"601",2,"telmisartan",0,0
"602",2,"temazepam",0,0
"603",2,"terazosin",0,0
"604",2,"terbinafine",0,0
"605",2,"ticagrelor",0,0
"606",2,"timolol",0,0
"607",2,"tiotropium",0,0
"608",2,"tizanidine",0,0
"609",2,"tobramycin",0,0
"610",2,"tolterodine",0,0
"611",2,"topiramate",0,0
"612",2,"travoprost",0,0
"613",2,"triamcinolone",0,0
"614",2,"triamterene",0,0
"615",2,"trimethoprim",0,0
"616",2,"triprolidine",0,0
"617",2,"umeclidinium",0,0
"618",2,"valacyclovir",0,0
"619",2,"valsartan",0,0
"620",2,"varenicline",0,0
"621",2,"venlafaxine",0,0
"622",2,"warfarin",0,0
"623",2,"witch hazel",0,0
"624",2,"ziprasidone",0,0
"625",2,"zolpidem",0,0
"626",2,"zonisamide",0,0
"627",3,"lactulose",108.86507284861,33792.1540725
"628",3,"metformin",42.9852371941083,13342.789566
"629",3,"gabapentin",8.76672727775737,2721.227213925
"630",3,"ibuprofen",7.15198709496334,2220.005402225
"631",3,"pregabalin",6.30529091844822,1957.18752225
"632",3,"valacyclovir",5.42098921780486,1682.6967371635
"633",3,"allopurinol",1.86289423380498,578.24982175
"634",3,"irbesartan",1.684590395098,522.903597
"635",3,"hydroxychloroquine",0.860110932123942,266.981873775
"636",3,"albuterol",0.827822760608755,256.959496184
"637",3,"sitagliptin",0.818925035695416,254.19760678
"638",3,"lisinopril",0.780924402150101,242.402058125
"639",3,"losartan",0.725118175075063,225.079582016
"640",3,"furosemide",0.669161561384518,207.7104253
"641",3,"ranitidine",0.664990690599992,206.415770325
"642",3,"pravastatin",0.51620510428345,160.23212919
"643",3,"atorvastatin",0.480591345440136,149.17747599
"644",3,"ketorolac",0.431727004642122,134.009789148933
"645",3,"sertraline",0.226810261948944,70.40281255
"646",3,"quetiapine",0.196993000412366,61.1474153
"647",3,"hydrochlorothiazide",0.17292917792216,53.67790854375
"648",3,"fluoxetine",0.151196740296517,46.932072975
"649",3,"rosuvastatin",0.126667770880852,39.3181827525
"650",3,"omeprazole",0.126044406386516,39.12468792
"651",3,"venlafaxine",0.121764895909847,37.79631075
"652",3,"metoprolol",0.116438202407185,36.14288378
"653",3,"spironolactone",0.115999165080025,36.0066048375
"654",3,"alendronate",0.104955761508389,32.57868819525
"655",3,"duloxetine",0.102050493021997,31.676881236
"656",3,"pantoprazole",0.0709807545231376,22.032710127
"657",3,"simvastatin",0.0613540651699076,19.044547245
"658",3,"mirtazapine",0.0605334921183361,18.7898380875
"659",3,"olanzapine",0.0349764316189547,10.85682428025
"660",3,"amlodipine",0.0294056272631796,9.127624325
"661",3,"ramipril",0.0265339538485329,8.2362454104
"662",3,"montelukast",0.0235170159807863,7.2997758285
"663",3,"donepezil",0.0216154310099097,6.7095162472
"664",3,"glipizide",0.0204378884292728,6.34400232
"665",3,"amiodarone",0.0186344835118104,5.78421822
"666",3,"carvedilol",0.012501577526385,3.8805396705
"667",3,"propranolol",0.0124069756301465,3.8511748635
"668",3,"finasteride",0.0109437460519194,3.3969825495
"669",3,"latanoprost",0.00886509807483151,2.75176190282
"670",3,"trazodone",0.00847290958718315,2.6300250275
"671",3,"lisdexamfetamine",0.00781787555427765,2.42669984355
"672",3,"paroxetine",0.00548913679108517,1.7038500165
"673",3,"sumatriptan",0.00490284246989944,1.52186191402667
"674",3,"doxazosin",0.00187093986752748,0.58074721864
"675",3,"warfarin",0.0016306215312947,0.5061514458
"676",3,"nifedipine",0.000537186542779732,0.166744851625
"677",3,"oxybutynin",8.32089005779565e-05,0.025828375575
"678",3,"acetaminophen",0,0
"679",3,"acyclovir",0,0
"680",3,"adapalene",0,0
"681",3,"alfuzosin",0,0
"682",3,"alogliptin",0,0
"683",3,"alprazolam",0,0
"684",3,"amitriptyline",0,0
"685",3,"amoxicillin",0,0
"686",3,"amphetamine",0,0
"687",3,"ampicillin",0,0
"688",3,"anastrozole",0,0
"689",3,"apixaban",0,0
"690",3,"aripiprazole",0,0
"691",3,"aspirin",0,0
"692",3,"atenolol",0,0
"693",3,"atomoxetine",0,0
"694",3,"azelastine",0,0
"695",3,"azithromycin",0,0
"696",3,"baclofen",0,0
"697",3,"beclomethasone",0,0
"698",3,"benazepril",0,0
"699",3,"benzonatate",0,0
"700",3,"benzoyl peroxide",0,0
"701",3,"benztropine",0,0
"702",3,"bepotastine",0,0
"703",3,"betamethasone",0,0
"704",3,"bimatoprost",0,0
"705",3,"bisacodyl",0,0
"706",3,"bismuth subsalicylate",0,0
"707",3,"bisoprolol",0,0
"708",3,"brimonidine",0,0
"709",3,"bromfenac",0,0
"710",3,"budesonide",0,0
"711",3,"bumetanide",0,0
"712",3,"buprenorphine",0,0
"713",3,"bupropion",0,0
"714",3,"buspirone",0,0
"715",3,"cadexomer iodine",0,0
"716",3,"calcipotriene",0,0
"717",3,"canagliflozin",0,0
"718",3,"carbamazepine",0,0
"719",3,"cefdinir",0,0
"720",3,"cefuroxime",0,0
"721",3,"celecoxib",0,0
"722",3,"cephalexin",0,0
"723",3,"cetirizine",0,0
"724",3,"chlorhexidine",0,0
"725",3,"chlorthalidone",0,0
"726",3,"ciclesonide",0,0
"727",3,"ciclopirox",0,0
"728",3,"ciprofloxacin",0,0
"729",3,"citalopram",0,0
"730",3,"clarithromycin",0,0
"731",3,"clavulanate",0,0
"732",3,"clindamycin",0,0
"733",3,"clobetasol",0,0
"734",3,"clonazepam",0,0
"735",3,"clonidine",0,0
"736",3,"clopidogrel",0,0
"737",3,"clotrimazole",0,0
"738",3,"codeine",0,0
"739",3,"colchicine",0,0
"740",3,"cromolyn",0,0
"741",3,"cyclobenzaprine",0,0
"742",3,"cyclosporine",0,0
"743",3,"cyproheptadine",0,0
"744",3,"dabigatran",0,0
