Pharmaceutical,Influent_concentration,Units,Sampling date,Sampling location,Sampling type,Reference
Fluoxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Haloperidol,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Haloperidol,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Haloperidol,7,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Haloperidol,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Lamotrigine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Lamotrigine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Lamotrigine,2000,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Lamotrigine,433,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Naproxen,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Naproxen,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Naproxen,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Naproxen,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Paroxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Paroxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Paroxetine,24,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Paroxetine,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Primidone,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Primidone,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Primidone,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Primidone,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sertraline,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sertraline,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sertraline,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sertraline,24,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sulfamethoxazole,75,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sulfamethoxazole,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sulfamethoxazole,ND,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Sulfamethoxazole,16,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Trimethoprim,146,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Trimethoprim,69,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Trimethoprim,548,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Trimethoprim,108,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Venlafaxine,358,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Venlafaxine,388,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Venlafaxine,672,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Venlafaxine,111,ng/L,"Aug-Dec 2017, Jun-Jul 2018",Eastern US,24h composite,2
Alprazolam,438.525,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Diphenhydramine,6131.8375,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Oxycodone,375.1375,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Sertraline,1414.0875,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Alprazolam,102.1,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Diphenhydramine,7347.1,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Oxycodone,206.5,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Sertraline,4096.9,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Alprazolam,191.5,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Diphenhydramine,7234.9,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Oxycodone,477.9,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Sertraline,2164.8,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Alprazolam,109.7,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Diphenhydramine,8386.2,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Sertraline,2228.3,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Alprazolam,206.4,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Diphenhydramine,7203,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Sertraline,1518,ng/L,"Sept 1-2, 2022",Ohio,grab sample,3
Alprazolam,177.7,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Diphenhydramine,6694.9,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Sertraline,1825.6,ng/L,"Sept 1-2, 2022",Ohio,24h composite,3
Acetaminophen,34145.48874,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Carbamazepine,171.1328304,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Diltiazem,501.1872336,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Diphenhydramine,316.227766,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Lisinopril,1308.177474,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Simvastatin,8.576958986,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Acetaminophen,18478.49797,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Carbamazepine,184.7849797,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Diltiazem,413.6820402,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Diphenhydramine,281.8382931,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Lisinopril,1584.893192,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Simvastatin,ND,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Tramadol,16.16946506,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Tramadol,30.07882518,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Ciprofloxacin,5484.416576,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Sulfamethoxazole,238.1286195,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Trimethoprim,159.55064,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Ciprofloxacin,5862.946646,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Sulfamethoxazole,496.1947603,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Trimethoprim,215.443469,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Ofloxacin,5862.946646,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Ofloxacin,6927.550656,ng/L,Jun 2014 - July 2015,Wisconsin,14month composite,4
Acetaminophen,"94,372",ng/L,17-Sep,Massachusetts,grab sample,5
Atenolol,588,ng/L,17-Sep,Massachusetts,grab sample,5
Carbamazepine,145,ng/L,17-Sep,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diltiazem,66,ng/L,17-Sep,Massachusetts,grab sample,5
Diphenhydramine,"1,969",ng/L,17-Sep,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Metoprolol,730,ng/L,17-Sep,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Sulfamethoxazole,165,ng/L,17-Sep,Massachusetts,grab sample,5
Trimethoprim,"1,299",ng/L,17-Sep,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Acetaminophen,"16,413",ng/L,17-Dec,Massachusetts,grab sample,5
Atenolol,224,ng/L,17-Dec,Massachusetts,grab sample,5
Carbamazepine,95,ng/L,17-Dec,Massachusetts,grab sample,5
Ciprofloxacin,426,ng/L,17-Dec,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Diltiazem,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Diphenhydramine,198,ng/L,17-Dec,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Metoprolol,253,ng/L,17-Dec,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Sulfamethoxazole,"2,968",ng/L,17-Dec,Massachusetts,grab sample,5
Trimethoprim,524,ng/L,17-Dec,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Acetaminophen,"24,903",ng/L,18-Jul,Massachusetts,grab sample,5
Atenolol,452,ng/L,18-Jul,Massachusetts,grab sample,5
Carbamazepine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ciprofloxacin,431,ng/L,18-Jul,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Diltiazem,43,ng/L,18-Jul,Massachusetts,grab sample,5
Diphenhydramine,303,ng/L,18-Jul,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Metoprolol,411,ng/L,18-Jul,Massachusetts,grab sample,5
Primidone,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Propranolol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Albuterol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Sulfamethoxazole,"1,682",ng/L,18-Jul,Massachusetts,grab sample,5
Trimethoprim,302,ng/L,18-Jul,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Acetaminophen,"21,137",ng/L,16-Nov,Massachusetts,grab sample,5
Atenolol,352,ng/L,16-Nov,Massachusetts,grab sample,5
Carbamazepine,207,ng/L,16-Nov,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diltiazem,188,ng/L,16-Nov,Massachusetts,grab sample,5
Diphenhydramine,542,ng/L,16-Nov,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Fluoxetine,295,ng/L,16-Nov,Massachusetts,grab sample,5
Ketoprofen,136,ng/L,16-Nov,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Metoprolol,473,ng/L,16-Nov,Massachusetts,grab sample,5
Primidone,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Propranolol,"1,469",ng/L,16-Nov,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Albuterol,400,ng/L,16-Nov,Massachusetts,grab sample,5
Sulfamethoxazole,"2,744",ng/L,16-Nov,Massachusetts,grab sample,5
Trimethoprim,"1,885",ng/L,16-Nov,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Acetaminophen,"23,413",ng/L,16-Nov,Massachusetts,grab sample,5
Atenolol,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Carbamazepine,248,ng/L,16-Nov,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diltiazem,180,ng/L,16-Nov,Massachusetts,grab sample,5
Diphenhydramine,513,ng/L,16-Nov,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Fluoxetine,149,ng/L,16-Nov,Massachusetts,grab sample,5
Ketoprofen,91,ng/L,16-Nov,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Metoprolol,583,ng/L,16-Nov,Massachusetts,grab sample,5
Primidone,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Propranolol,"1,164",ng/L,16-Nov,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Albuterol,665,ng/L,16-Nov,Massachusetts,grab sample,5
Sulfamethoxazole,"2,941",ng/L,16-Nov,Massachusetts,grab sample,5
Trimethoprim,"2,127",ng/L,16-Nov,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Acetaminophen,"53,143",ng/L,17-Sep,Massachusetts,grab sample,5
Atenolol,564,ng/L,17-Sep,Massachusetts,grab sample,5
Carbamazepine,115,ng/L,17-Sep,Massachusetts,grab sample,5
Ciprofloxacin,486,ng/L,17-Sep,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diltiazem,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diphenhydramine,"2,226",ng/L,17-Sep,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Metoprolol,665,ng/L,17-Sep,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Sulfamethoxazole,238,ng/L,17-Sep,Massachusetts,grab sample,5
Trimethoprim,958,ng/L,17-Sep,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Acetaminophen,"19,984",ng/L,17-Dec,Massachusetts,grab sample,5
Atenolol,254,ng/L,17-Dec,Massachusetts,grab sample,5
Carbamazepine,79,ng/L,17-Dec,Massachusetts,grab sample,5
Ciprofloxacin,544,ng/L,17-Dec,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Diltiazem,45,ng/L,17-Dec,Massachusetts,grab sample,5
Diphenhydramine,265,ng/L,17-Dec,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Metoprolol,259,ng/L,17-Dec,Massachusetts,grab sample,5
Primidone,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Propranolol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Albuterol,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Sulfamethoxazole,"2,925",ng/L,17-Dec,Massachusetts,grab sample,5
Trimethoprim,526,ng/L,17-Dec,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,17-Dec,Massachusetts,grab sample,5
Acetaminophen,"30,328",ng/L,18-Jul,Massachusetts,grab sample,5
Atenolol,441,ng/L,18-Jul,Massachusetts,grab sample,5
Carbamazepine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ciprofloxacin,400,ng/L,18-Jul,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Diltiazem,37,ng/L,18-Jul,Massachusetts,grab sample,5
Diphenhydramine,292,ng/L,18-Jul,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Metoprolol,372,ng/L,18-Jul,Massachusetts,grab sample,5
Primidone,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Propranolol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Albuterol,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Sulfamethoxazole,"1,545",ng/L,18-Jul,Massachusetts,grab sample,5
Trimethoprim,259,ng/L,18-Jul,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,18-Jul,Massachusetts,grab sample,5
Acetaminophen,"25,654",ng/L,16-Nov,Massachusetts,grab sample,5
Atenolol,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Carbamazepine,233,ng/L,16-Nov,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Diltiazem,274,ng/L,16-Nov,Massachusetts,grab sample,5
Diphenhydramine,766,ng/L,16-Nov,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Fluoxetine,240,ng/L,16-Nov,Massachusetts,grab sample,5
Ketoprofen,123,ng/L,16-Nov,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Metoprolol,567,ng/L,16-Nov,Massachusetts,grab sample,5
Primidone,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Propranolol,"1,405",ng/L,16-Nov,Massachusetts,grab sample,5
Ranitidine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Albuterol,635,ng/L,16-Nov,Massachusetts,grab sample,5
Sulfamethoxazole,"3,003",ng/L,16-Nov,Massachusetts,grab sample,5
Trimethoprim,"2,852",ng/L,16-Nov,Massachusetts,grab sample,5
Venlafaxine,ND,ng/L,16-Nov,Massachusetts,grab sample,5
Acetaminophen,"86,207",ng/L,17-Sep,Massachusetts,grab sample,5
Atenolol,606,ng/L,17-Sep,Massachusetts,grab sample,5
Carbamazepine,158,ng/L,17-Sep,Massachusetts,grab sample,5
Ciprofloxacin,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diclofenac,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Diltiazem,84,ng/L,17-Sep,Massachusetts,grab sample,5
Diphenhydramine,"1,292",ng/L,17-Sep,Massachusetts,grab sample,5
Fenofibrate,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Fluoxetine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Ketoprofen,ND,ng/L,17-Sep,Massachusetts,grab sample,5
Lamotrigine,ND,ng/L,17-Sep,Massachusetts,grab sample,5
