"","Pharmaceutical","DTXSID","TOXVAL_TYPE","TOXVAL_NUMERIC","TOXVAL_UNITS","SPECIES_COMMON","SPECIES_SUPERCATEGORY","HUMAN_ECO","CRITICAL_EFFECT","Molar_Mass"
"16","ibuprofen","DTXSID5020732","NOEC",1000,"ug/L","Japanese Medaka","Fish","eco","Growth Length",206.285
"17","ibuprofen","DTXSID5020732","NOEC",2062.85,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",206.285
"18","ibuprofen","DTXSID5020732","NOEC",4125.69,"ug/L","Topminnow","Fish","eco","Cell(s) Viability",206.285
"19","ibuprofen","DTXSID5020732","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",206.285
"20","ibuprofen","DTXSID5020732","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Growth Weight",206.285
"21","ibuprofen","DTXSID5020732","NOEC",2.06285,"ug/L","Common Carp","Fish","eco","Genetics Xenobiotic-transporting ATPase mRNA",206.285
"22","ibuprofen","DTXSID5020732","NOEC",5,"ug/L","Bluntnose Minnow","Fish","eco","Biochemistry Prostaglandin E2",206.285
"23","ibuprofen","DTXSID5020732","NOEC",5157.12,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",206.285
"24","ibuprofen","DTXSID5020732","NOEC",20628.5,"ug/L","Common Carp","Fish","eco","Genetics rpl8 mRNA",206.285
"25","ibuprofen","DTXSID5020732","NOEC",206285,"ug/L","Common Carp","Fish","eco","Enzyme(s) Sulfotransferase",206.285
"26","ibuprofen","DTXSID5020732","NOEC",1,"ug/L","Japanese Medaka","Fish","eco","mortality",206.285
"27","ibuprofen","DTXSID5020732","NOEC",100,"ug/L","Japanese Medaka","Fish","eco","Growth",206.285
"28","ibuprofen","DTXSID5020732","NOEC",153,"ug/L","Fathead Minnow","Fish","eco","Growth",206.285
"29","ibuprofen","DTXSID5020732","NOEC",224,"ug/L","Channel Catfish","Fish","eco","Growth",206.285
"30","ibuprofen","DTXSID5020732","NOEC",680,"ug/L","Fathead Minnow","Fish","eco","Growth",206.285
"31","ibuprofen","DTXSID5020732","NOEC",1000,"ug/L","Japanese Medaka","Fish","eco","reproduction",206.285
"32","amoxicillin","DTXSID3037044","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Catalase",365.4
"33","amoxicillin","DTXSID3037044","NOEC",25000,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Catalase",365.4
"34","amoxicillin","DTXSID3037044","NOEC",1e+05,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Glutathione S-transferase",365.4
"35","amoxicillin","DTXSID3037044","NOEC",128000,"ug/L","Zebra Danio","Fish","eco","Mortality Hatch",365.4
"36","amoxicillin","DTXSID3037044","NOEC",182702,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",365.4
"37","amoxicillin","DTXSID3037044","NOEC",221000,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Lactate dehydrogenase",365.4
"38","amoxicillin","DTXSID3037044","NOEC",1125000,"ug/L","Zebra Danio","Fish","eco","Mortality Hatch",365.4
"39","acetaminophen","DTXSID2020006","NOEC",25000,"ug/L","Zebra Danio","Fish","eco","Growth Length",151.165
"40","acetaminophen","DTXSID2020006","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Growth Weight",151.165
"41","acetaminophen","DTXSID2020006","NOEC",10,"ug/L","Zambezi Barbel","Fish","eco","Development Slowed, Retarded, Delayed or Non-development",151.165
"42","acetaminophen","DTXSID2020006","NOEC",1058.15,"ug/L","Zebra Danio","Fish","eco","Morphology General morphological changes",151.165
"43","acetaminophen","DTXSID2020006","NOEC",9500,"ug/L","Japanese Medaka","Fish","eco","Growth Condition index",151.165
"44","acetaminophen","DTXSID2020006","NOEC",95000,"ug/L","Japanese Medaka","Fish","eco","Mortality Survival",151.165
"45","acetaminophen","DTXSID2020006","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",151.165
"46","acetaminophen","DTXSID2020006","NOEC",5e+05,"ug/L","Shark Catfish","Fish","eco","Enzyme(s) Alanine transaminase (ALT)",151.165
"47","acetaminophen","DTXSID2020006","NOEC",1000,"ug/L","Leopard Frog","Amphibians","eco","Behavior Activity, general",151.165
"48","acetaminophen","DTXSID2020006","NOEC",2500,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",151.165
"49","acetaminophen","DTXSID2020006","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","Mortality Survival",151.165
"50","acetaminophen","DTXSID2020006","NOEC",249422,"ug/L","Danio","Fish","eco","Behavior Swimming",151.165
"51","acetaminophen","DTXSID2020006","NOEC",500356,"ug/L","Danio","Fish","eco","Behavior Swimming",151.165
"52","acetaminophen","DTXSID2020006","NOEC",755825,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",151.165
"53","acetaminophen","DTXSID2020006","NOEC",3401210,"ug/L","Zebra Danio","Fish","eco","Mortality Survival",151.165
"54","acetaminophen","DTXSID2020006","NOEC",1,"ug/L","Zebra Danio","Fish","eco","mortality",151.165
"55","acetaminophen","DTXSID2020006","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","mortality",151.165
"56","ciprofloxacin","DTXSID8022824","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",331.347
"57","ciprofloxacin","DTXSID8022824","NOEC",3313.47,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",331.347
"58","methocarbamol","DTXSID6023286","NOEC",0.023,"ug/L","Fathead Minnow","Fish","eco","Behavior Escape response",241.243
"59","methocarbamol","DTXSID6023286","NOEC",0.023,"ug/L","Fathead Minnow","Fish","eco","Growth, Length",241.243
"60","naproxen","DTXSID4040686","NOEC",23026.3,"ug/L","Common Carp","Fish","eco","Enzyme(s) Sulfotransferase",230.263
"61","naproxen","DTXSID4040686","NOEC",10,"ug/L","Brown Striped Marsh Frog","Amphibians","eco","Growth Weight",230.263
"62","naproxen","DTXSID4040686","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics UGT1a1 mRNA",230.263
"63","naproxen","DTXSID4040686","NOEC",2302.63,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",230.263
"64","naproxen","DTXSID4040686","NOEC",4605.27,"ug/L","Topminnow","Fish","eco","Cell(s) Viability",230.263
"65","naproxen","DTXSID4040686","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",230.263
"66","naproxen","DTXSID4040686","NOEC",50000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",230.263
"67","naproxen","DTXSID4040686","NOEC",230263,"ug/L","Common Carp","Fish","eco","Enzyme(s) Sulfotransferase",230.263
"68","aspirin","DTXSID5020108","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Cytosolic sulfotransferase 1 mRNA",180.159
"69","aspirin","DTXSID5020108","NOEC",42157.5,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",180.159
"70","aspirin","DTXSID5020108","NOEC",50000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",180.159
"71","aspirin","DTXSID5020108","NOEC",580000,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Glutathione reductase",180.159
"72","aspirin","DTXSID5020108","NOEC",1207070,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",180.159
"73","aspirin","DTXSID5020108","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Steroid 17-alpha-hydroxylase/17,20 lyase",180.159
"74","aspirin","DTXSID5020108","NOEC",2738.43,"ug/L","Zebra Danio","Fish","eco","Histology Degeneration",180.159
"75","aspirin","DTXSID5020108","NOEC",9098.08,"ug/L","Zebra Danio","Fish","eco","Morphology Size",180.159
"76","aspirin","DTXSID5020108","NOEC",27312.3,"ug/L","Zebra Danio","Fish","eco","Morphology Size",180.159
"77","metoprolol","DTXSID2023309","NOEC",5,"ug/L","Rainbow Trout","Fish","eco","Histology Histological changes, general",267.369
"78","metoprolol","DTXSID2023309","NOEC",53.4737,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",267.369
"79","metoprolol","DTXSID2023309","NOEC",267.368,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",267.369
"80","losartan","DTXSID7023227","NOEC",16.9167,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",422.92
"81","losartan","DTXSID7023227","NOEC",422.917,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",422.92
"82","atorvastatin","DTXSID8029868","NOEC",0.013,"ug/L","Zebra Danio","Fish","eco","Genetics DNA concentration",558.65
"83","atorvastatin","DTXSID8029868","NOEC",10000,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",558.65
"84","atorvastatin","DTXSID8029868","NOEC",530,"ug/L","Zebra Danio","Fish","eco","Genetics Cytochrome P450, family 3, subfamily A, polypeptide 65 mRNA",558.65
"85","atorvastatin","DTXSID8029868","NOEC",111.73,"ug/L","Zebra Danio","Fish","eco","Physiology Blood flow",558.65
"86","atorvastatin","DTXSID8029868","NOEC",558.65,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",558.65
"87","tramadol","DTXSID90858931","NOEC",658.45,"ug/L","Zebra Danio","Fish","eco","Behavior Distance moved, change in direct movement",263.381
"88","gemfibrozil","DTXSID0020652","NOEC",100135,"ug/L","Rainbow Trout","Fish","eco","Genetics CYP11A mRNA",250.338
"89","gemfibrozil","DTXSID0020652","NOEC",0.38,"ug/L","Zebra Danio","Fish","eco","Genetics Apoptosis, programmed cell death, DNA fragmentation",250.338
"90","gemfibrozil","DTXSID0020652","NOEC",1,"ug/L","Zebra Danio","Fish","eco","Mortality Hatch",250.338
"91","gemfibrozil","DTXSID0020652","NOEC",1.6,"ug/L","Zebra Danio","Fish","eco","Genetics Damage",250.338
"92","gemfibrozil","DTXSID0020652","NOEC",1.65,"ug/L","Fathead Minnow","Fish","eco","Genetics Apolipoprotein E mRNA",250.338
"93","gemfibrozil","DTXSID0020652","NOEC",14,"ug/L","Fathead Minnow","Fish","eco","Genetics Lipoprotein lipase mRNA",250.338
"94","gemfibrozil","DTXSID0020652","NOEC",14.5,"ug/L","Fathead Minnow","Fish","eco","Genetics Apolipoprotein E mRNA",250.338
"95","gemfibrozil","DTXSID0020652","NOEC",17.5,"ug/L","Zebra Danio","Fish","eco","Hormone(s) 11-Ketotestosterone",250.338
"96","gemfibrozil","DTXSID0020652","NOEC",40,"ug/L","Japanese Medaka","Fish","eco","Hormone(s) 11-Ketotestosterone",250.338
"97","gemfibrozil","DTXSID0020652","NOEC",43.7,"ug/L","Japanese Medaka","Fish","eco","Hormone(s) 11-Ketotestosterone",250.338
"98","gemfibrozil","DTXSID0020652","NOEC",1e+05,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Total phospholipid content",250.338
"99","gemfibrozil","DTXSID0020652","NOEC",400,"ug/L","Japanese Medaka","Fish","eco","Genetics Vitellogenin 1 mRNA",250.338
"100","gemfibrozil","DTXSID0020652","NOEC",659,"ug/L","Fathead Minnow","Fish","eco","Genetics Cytochrome P450 3A mRNA",250.338
"101","gemfibrozil","DTXSID0020652","NOEC",851.9,"ug/L","Goldfish","Fish","eco","Genetics Messenger RNA",250.338
"102","gemfibrozil","DTXSID0020652","NOEC",1500,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",250.338
"103","gemfibrozil","DTXSID0020652","NOEC",1558,"ug/L","Fathead Minnow","Fish","eco","Genetics Apolipoprotein 14 kDa mRNA",250.338
"104","gemfibrozil","DTXSID0020652","NOEC",2503.38,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",250.338
"105","gemfibrozil","DTXSID0020652","NOEC",3000,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",250.338
"106","gemfibrozil","DTXSID0020652","NOEC",3700,"ug/L","Japanese Medaka","Fish","eco","Genetics CYP11A mRNA",250.338
"107","gemfibrozil","DTXSID0020652","NOEC",5000,"ug/L","Zebra Danio","Fish","eco","Enzyme(s) Glutathione S-transferase",250.338
"108","gemfibrozil","DTXSID0020652","NOEC",5006.76,"ug/L","Topminnow","Fish","eco","Cell(s) Viability",250.338
"109","gemfibrozil","DTXSID0020652","NOEC",6850,"ug/L","Zebra Danio","Fish","eco","Mortality Hatch",250.338
"110","gemfibrozil","DTXSID0020652","NOEC",12150,"ug/L","Zebra Danio","Fish","eco","Development Yolk sac absorption, Yolk sac utilization",250.338
"111","gemfibrozil","DTXSID0020652","NOEC",14810,"ug/L","Zebra Danio","Fish","eco","Mortality Survival",250.338
"112","gemfibrozil","DTXSID0020652","NOEC",40000,"ug/L","Japanese Medaka","Fish","eco","Mortality Hatch",250.338
"113","gemfibrozil","DTXSID0020652","NOEC",100,"ug/L","Common Eel","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",250.338
"114","gemfibrozil","DTXSID0020652","NOEC",1000,"ug/L","Senagales Sole","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",250.338
"115","gemfibrozil","DTXSID0020652","NOEC",1.5,"ug/L","Goldfish","Fish","eco","Genetics Peroxisome proliferator-activated receptor beta mRNA",250.338
"116","gemfibrozil","DTXSID0020652","NOEC",2000,"ug/L","Common Eel","Fish","eco","Enzyme(s) Acyl-CoA oxidase",250.338
"117","gemfibrozil","DTXSID0020652","NOEC",10,"ug/L","Zebra Danio","Fish","eco","Reproduction Courtship behavior",250.338
"118","gemfibrozil","DTXSID0020652","NOEC",16000,"ug/L","Zebra Danio","Fish","eco","Genetics Low-density lipoprotein receptor mRNA",250.338
"119","gemfibrozil","DTXSID0020652","NOEC",20000,"ug/L","Common Eel","Fish","eco","Growth Length",250.338
"120","gemfibrozil","DTXSID0020652","NOEC",25.0338,"ug/L","Zebra Danio","Fish","eco","Development Yolk sac absorption, Yolk sac utilization",250.338
"121","gemfibrozil","DTXSID0020652","NOEC",60000,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Total phospholipid content",250.338
"122","gemfibrozil","DTXSID0020652","NOEC",87000,"ug/L","Rainbow Trout","Fish","eco","Morphology Organ weight in relationship to body weight",250.338
"123","gemfibrozil","DTXSID0020652","NOEC",125.169,"ug/L","Zebra Danio","Fish","eco","Biochemistry Myelin",250.338
"124","gemfibrozil","DTXSID0020652","NOEC",150,"ug/L","Gilthead Seabream","Fish","eco","Biochemistry Total oxidative capacity",250.338
"125","gemfibrozil","DTXSID0020652","NOEC",152000,"ug/L","Rainbow Trout","Fish","eco","Growth Weight",250.338
"126","gemfibrozil","DTXSID0020652","NOEC",2e+05,"ug/L","Common Eel","Fish","eco","Morphology Organ weight in relationship to body weight",250.338
"127","gemfibrozil","DTXSID0020652","NOEC",250.338,"ug/L","Goldfish","Fish","eco","Hormone(s) Luteinizing hormone",250.338
"128","gemfibrozil","DTXSID0020652","NOEC",1500,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Glutathione S-transferase",250.338
"129","gemfibrozil","DTXSID0020652","NOEC",2503.38,"ug/L","Goldfish","Fish","eco","Hormone(s) Testosterone",250.338
"130","gemfibrozil","DTXSID0020652","NOEC",6258.45,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Luciferase",250.338
"131","gemfibrozil","DTXSID0020652","NOEC",15000,"ug/L","Gilthead Seabream","Fish","eco","Genetics Peroxisome proliferator-activated receptor beta mRNA",250.338
"132","gemfibrozil","DTXSID0020652","NOEC",25033.8,"ug/L","Sea Bass","Fish","eco","Enzyme(s) 7-Benzyloxy-4-trifluoromethylcoumarin O-debenzylase",250.338
"133","gemfibrozil","DTXSID0020652","NOEC",400,"ug/L","Japanese Medaka","Fish","eco","Reproduction, Hatch",250.338
"134","gemfibrozil","DTXSID0020652","NOEC",250338,"ug/L","Common Carp","Fish","eco","Enzyme(s) Steroid 17-alpha-hydroxylase/17,20 lyase",250.338
"135","gemfibrozil","DTXSID0020652","NOEC",312922,"ug/L","Japanese Medaka","Fish","eco","Genetics DNA synthesis rate",250.338
"136","carbamazepine","DTXSID4022731","NOEC",0.01,"ug/L","Zebra Danio","Fish","eco","Genetics Estrogen receptor alpha mRNA",236.274
"137","carbamazepine","DTXSID4022731","NOEC",0.89,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Catalase",236.274
"138","carbamazepine","DTXSID4022731","NOEC",0.9,"ug/L","Chinese Rare Minnow","Fish","eco","Biochemistry Lipid",236.274
"139","carbamazepine","DTXSID4022731","NOEC",0.91,"ug/L","Chinese Rare Minnow","Fish","eco","Enzyme(s) Caspase 8",236.274
"140","carbamazepine","DTXSID4022731","NOEC",2e+06,"ug/L","Japanese Medaka","Fish","eco","Mortality Hatch",236.274
"141","carbamazepine","DTXSID4022731","NOEC",1e+07,"ug/L","Japanese Medaka","Fish","eco","Development Slowed, Retarded, Delayed or Non-development",236.274
"142","carbamazepine","DTXSID4022731","NOEC",8.75,"ug/L","Chinese Rare Minnow","Fish","eco","Genetics Caveolin 1 mRNA",236.274
"143","carbamazepine","DTXSID4022731","NOEC",2.4e+07,"ug/L","Japanese Medaka","Fish","eco","Physiology Heart rate",236.274
"144","carbamazepine","DTXSID4022731","NOEC",61.5,"ug/L","Japanese Medaka","Fish","eco","Mortality Mortality",236.274
"145","carbamazepine","DTXSID4022731","NOEC",82.2,"ug/L","Chinese Rare Minnow","Fish","eco","Genetics Isopentenyl diphosphate isomerase 1 mRNA",236.274
"146","carbamazepine","DTXSID4022731","NOEC",82.9,"ug/L","Chinese Rare Minnow","Fish","eco","Genetics N-ras mRNA",236.274
"147","carbamazepine","DTXSID4022731","NOEC",180,"ug/L","Rainbow Trout","Fish","eco","Genetics RNA to DNA ratio",236.274
"148","carbamazepine","DTXSID4022731","NOEC",862,"ug/L","Fathead Minnow","Fish","eco","Mortality Survival",236.274
"149","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Amylase",236.274
"150","carbamazepine","DTXSID4022731","NOEC",4489.19,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",236.274
"151","carbamazepine","DTXSID4022731","NOEC",6150,"ug/L","Japanese Medaka","Fish","eco","Behavior Swimming",236.274
"152","carbamazepine","DTXSID4022731","NOEC",25000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality/survival, general",236.274
"153","carbamazepine","DTXSID4022731","NOEC",30600,"ug/L","Zebra Danio","Fish","eco","Multiple Multiple effects reported as one result",236.274
"154","carbamazepine","DTXSID4022731","NOEC",1e+05,"ug/L","African Clawed Frog","Amphibians","eco","Growth Snout-vent length",236.274
"155","carbamazepine","DTXSID4022731","NOEC",1,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Alanine transaminase (ALT)",236.274
"156","carbamazepine","DTXSID4022731","NOEC",10,"ug/L","Zebra Danio","Fish","eco","Reproduction Clutch production",236.274
"157","carbamazepine","DTXSID4022731","NOEC",125,"ug/L","Pumpkinseed","Fish","eco","Enzyme(s) Glutathione S-transferase",236.274
"158","carbamazepine","DTXSID4022731","NOEC",200,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Superoxide dismutase (SOD) enzyme activity",236.274
"159","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Zebra Danio","Fish","eco","Reproduction Fully developed oocytes",236.274
"160","carbamazepine","DTXSID4022731","NOEC",2000,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) Glutathione peroxidase",236.274
"161","carbamazepine","DTXSID4022731","NOEC",7383.53,"ug/L","Zebra Danio","Fish","eco","Multiple Multiple effects reported as one result",236.274
"162","carbamazepine","DTXSID4022731","NOEC",19900,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Protein carbonyls",236.274
"163","carbamazepine","DTXSID4022731","NOEC",20000,"ug/L","Common Carp","Fish","eco","Reproduction Viability",236.274
"164","carbamazepine","DTXSID4022731","NOEC",29534.1,"ug/L","Rainbow Trout","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",236.274
"165","carbamazepine","DTXSID4022731","NOEC",61500,"ug/L","Japanese Medaka","Fish","eco","Genetics Tributyltin binding protein 1 mRNA",236.274
"166","carbamazepine","DTXSID4022731","NOEC",70881.9,"ug/L","Zebra Danio","Fish","eco","Genetics Ubiquitinyl hydrolase 1 mRNA",236.274
"167","carbamazepine","DTXSID4022731","NOEC",80332.9,"ug/L","Zebra Danio","Fish","eco","Genetics HSP70 mRNA",236.274
"168","carbamazepine","DTXSID4022731","NOEC",82695.6,"ug/L","Zebra Danio","Fish","eco","Behavior Swimming",236.274
"169","carbamazepine","DTXSID4022731","NOEC",180,"ug/L","Rainbow Trout","Fish","eco","Growth",236.274
"170","carbamazepine","DTXSID4022731","NOEC",862,"ug/L","Fathead Minnow","Fish","eco","Growth",236.274
"171","carbamazepine","DTXSID4022731","NOEC",1780,"ug/L","Zebra Danio","Fish","eco","reproduction",236.274
"172","carbamazepine","DTXSID4022731","NOEC",25000,"ug/L","Zebra Danio","Fish","eco","mortality",236.274
"173","metronidazole","DTXSID2020892","NOEC",5e+05,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",171.156
"174","venlafaxine","DTXSID6023737","NOEC",1.086,"ug/L","Zebra Danio","Fish","eco","Genetics Cytochrome P450, family 3, subfamily A, polypeptide 65 mRNA",277.408
"175","venlafaxine","DTXSID6023737","NOEC",2.77407,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Glucose",277.408
"176","venlafaxine","DTXSID6023737","NOEC",277.407,"ug/L","Rainbow Trout","Fish","eco","Biochemistry Glucose",277.408
"177","venlafaxine","DTXSID6023737","NOEC",38.3,"ug/L","Japanese Medaka","Fish","eco","Growth",277.408
"178","venlafaxine","DTXSID6023737","NOEC",213,"ug/L","Japanese Medaka","Fish","eco","Growth",277.408
"179","omeprazole","DTXSID6021080","NOEC",10000,"ug/L","Rainbow Trout","Fish","eco","Genetics Pregnane X receptor mRNA",345.42
"180","omeprazole","DTXSID6021080","NOEC",4998.17,"ug/L","Danio","Fish","eco","Behavior Swimming",345.42
"181","omeprazole","DTXSID6021080","NOEC",9982.53,"ug/L","Danio","Fish","eco","Behavior Swimming",345.42
"182","omeprazole","DTXSID6021080","NOEC",19999.6,"ug/L","Danio","Fish","eco","Behavior Swimming",345.42
"183","lisinopril","DTXSID6040537","NOEC",405.494,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",405.495
"184","celecoxib","DTXSID0022777","NOEC",29.3,"ug/L","Fathead Minnow","Fish","eco","Biochemistry Vitellogenin",381.37
"185","celecoxib","DTXSID0022777","NOEC",100,"ug/L","Zebra Danio","Fish","eco","Genetics Aryl hydrocarbon receptor 1a mRNA",381.37
"186","celecoxib","DTXSID0022777","NOEC",1000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",381.37
"187","celecoxib","DTXSID0022777","NOEC",10000,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",381.37
"188","celecoxib","DTXSID0022777","NOEC",3813.72,"ug/L","Zebra Danio","Fish","eco","Physiology Heart rate",381.37
"189","celecoxib","DTXSID0022777","NOEC",6674.02,"ug/L","Zebra Danio","Fish","eco","Development Abnormal",381.37
"190","celecoxib","DTXSID0022777","NOEC",9534.31,"ug/L","Zebra Danio","Fish","eco","Mortality Mortality",381.37
"191","furosemide","DTXSID6020648","NOEC",0.61108,"ug/L","Zebra Danio","Fish","eco","Genetics DNA concentration",330.74
"192","furosemide","DTXSID6020648","NOEC",330.743,"ug/L","Zebra Danio","Fish","eco","Physiology Cardiac index",330.74
"193","fenofibrate","DTXSID2029874","NOEC",169,"ug/L","Fathead Minnow","Fish","eco","Growth",360.83
"194","fenofibrate","DTXSID2029874","NOEC",169,"ug/L","Fathead Minnow","Fish","eco","Growth Weight",360.83
"195","fenofibrate","DTXSID2029874","NOEC",3608.37,"ug/L","Topminnow","Fish","eco","Enzyme(s) 7-Ethoxyresorufin O-deethylase",360.83
"196","fenofibrate","DTXSID2029874","NOEC",7216.75,"ug/L","Topminnow","Fish","eco","Cell(s) Viability",360.83
"197","fenofibrate","DTXSID2029874","NOEC",25,"ug/L","Fathead Minnow","Fish","eco","Morphology Organ weight in relationship to body weight",360.83
"198","fenofibrate","DTXSID2029874","NOEC",144.335,"ug/L","Zebra Danio","Fish","eco","Biochemistry Myelin",360.83
"199","fenofibrate","DTXSID2029874","NOEC",252.586,"ug/L","Zebra Danio","Fish","eco","Genetics Myelin basic protein A mRNA",360.83
"200","fenofibrate","DTXSID2029874","NOEC",360.837,"ug/L","Goldfish","Fish","eco","Hormone(s) Testosterone",360.83
"201","fenofibrate","DTXSID2029874","NOEC",678.374,"ug/L","Rainbow Trout","Fish","eco","Cell(s) Cell Viability",360.83
"202","fenofibrate","DTXSID2029874","NOEC",1353.14,"ug/L","Topminnow","Fish","eco","Biochemistry Reactive oxygen species",360.83
"203","fenofibrate","DTXSID2029874","NOEC",1443.35,"ug/L","Rainbow Trout","Fish","eco","Hormone(s) Cortisol",360.83
"204","fenofibrate","DTXSID2029874","NOEC",36083.7,"ug/L","Goldfish","Fish","eco","Hormone(s) Testosterone",360.83
"205","fenofibrate","DTXSID2029874","NOEC",144335,"ug/L","Rainbow Trout","Fish","eco","Genetics CYP11A mRNA",360.83
